,0.0,0.0.1,0.0.2,0.2,0.2.1,0.2.2,0.4,0.4.1,0.4.2,0.6,0.6.1,0.6.2,0.8,0.8.1,0.8.2,1.0,1.0.1,1.0.2
gene_4_17,85.0,22.0,2105.0,580.0,106.0,167.0,835.0,1.0,191.0,9540.0,471.0,3083.0,329.0,57.0,164.0,25.0,359.0,2914.0
gene_4_18,50.0,0.0,15.0,0.0,7.0,364.0,138.0,1358.0,0.0,28.0,270.0,0.0,2.0,3.0,82.0,344.0,0.0,245.0
gene_4_19,67.0,41.0,8.0,1183.0,179.0,2096.0,728.0,2307.0,1132.0,915.0,419.0,721.0,12.0,2325.0,179.0,767.0,900.0,5165.0
gene_4_20,202.0,44.0,472.0,1033.0,46.0,93.0,554.0,465.0,267.0,292.0,608.0,303.0,68.0,191.0,41.0,1600.0,1.0,387.0
gene_4_21,219.0,252.0,1344.0,366.0,383.0,1252.0,13.0,4009.0,531.0,102.0,166.0,169.0,2477.0,9.0,18.0,162.0,1547.0,82.0
gene_4_22,2248.0,530.0,1547.0,72.0,3409.0,2035.0,3753.0,506.0,1511.0,15.0,198.0,140.0,5813.0,302.0,438.0,790.0,675.0,675.0
gene_4_23,1805.0,112.0,131.0,526.0,955.0,155.0,10.0,646.0,505.0,17.0,1504.0,116.0,451.0,2423.0,13.0,2032.0,16607.0,1144.0
gene_4_24,8903.0,296.0,5240.0,48.0,1330.0,1690.0,623.0,268.0,577.0,1223.0,6495.0,1939.0,578.0,34.0,10158.0,212.0,156.0,0.0
gene_4_25,793.0,94.0,448.0,3283.0,588.0,90.0,913.0,970.0,535.0,89.0,5261.0,7958.0,170.0,13490.0,7025.0,249.0,1788.0,51.0
gene_4_26,72.0,497.0,801.0,116.0,4.0,16.0,111.0,10.0,18.0,56.0,189.0,229.0,306.0,21.0,37.0,60.0,117.0,48.0
gene_4_27,16.0,1045.0,429.0,191.0,328.0,1184.0,3431.0,81.0,376.0,12.0,76580.0,2104.0,3.0,55788.0,71.0,119.0,242.0,9049.0
gene_4_28,62.0,225.0,101.0,2.0,1.0,0.0,22.0,951.0,1.0,640.0,12.0,509.0,264.0,94.0,1459.0,266.0,597.0,0.0
gene_4_29,13.0,672.0,27.0,6378.0,4404.0,6071.0,1126.0,2474.0,2072.0,868.0,3091.0,1879.0,791.0,440.0,135.0,73.0,5185.0,3301.0
gene_4_30,405.0,1808.0,441.0,617.0,4955.0,41.0,581.0,211.0,205.0,54.0,6542.0,5775.0,521.0,915.0,2202.0,252.0,4493.0,1164.0
gene_4_31,2.0,74.0,952.0,522.0,670.0,99.0,446.0,279.0,403.0,483.0,606.0,87.0,3510.0,83.0,0.0,164.0,2623.0,5350.0
gene_4_32,768.0,266.0,2.0,1203.0,51.0,40.0,39.0,232.0,56.0,0.0,104.0,53.0,971.0,249.0,3.0,1759.0,13.0,32.0
gene_4_33,1125.0,10.0,473.0,1350.0,2046.0,36.0,62.0,414.0,1218.0,1054.0,14.0,18.0,1953.0,7919.0,3836.0,777.0,3572.0,640.0
gene_4_34,34.0,31.0,0.0,0.0,45.0,1057.0,543.0,35.0,47.0,0.0,677.0,66.0,347.0,1.0,86.0,251.0,442.0,18.0
