"","GSM1368273","GSM1368274","GSM1368275","GSM1368276","GSM1368277","GSM1368278","GSM1368279","GSM1368280","GSM1368281","GSM1368282","GSM1368283","GSM1368284","GSM1368285","GSM1368286","GSM1368287","GSM1368288","GSM1368289","GSM1368290"
"SPAC22G7.10",721,357,618,533,322,238,570,299,321,261,761,487,560,358,390,531,637,489
"SPAC4G8.02c",1526,559,1043,1829,877,578,1547,556,576,501,1670,801,1322,895,711,1334,1013,603
"SPAC4G8.03c",118,74,143,117,73,60,145,175,186,19,108,51,96,69,64,92,82,75
"SPAC4G8.06c",493,284,456,490,223,180,356,211,251,157,429,267,301,295,231,307,351,347
"SPNCRNA.159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPAC4G8.08",82,35,45,78,21,10,89,36,48,31,78,62,39,39,23,48,73,31
"SPAC4G8.11c",140,48,104,103,41,37,161,66,81,36,150,108,126,58,74,110,119,80
"SPAC4G8.12c",135,90,175,36,18,20,108,53,51,42,139,96,93,76,98,89,88,74
"SPAC4G8.13c",600,288,507,330,169,147,530,379,441,227,695,400,471,361,332,449,526,370
"SPAC16C9.05",593,254,449,308,214,168,438,354,392,228,831,417,437,362,348,380,435,317
"SPAC2G11.02",2424,903,1596,1490,722,707,888,429,621,583,1725,1151,1403,1201,900,1388,1569,1054
"SPAC2G11.03c",211,127,251,135,83,104,152,199,162,93,268,190,190,143,182,231,272,188
"SPAC2G11.06",420,137,301,218,157,219,266,168,200,96,308,230,274,200,178,199,280,206
"SPNCRNA.688",109,56,73,134,74,24,115,74,77,27,120,75,66,36,55,83,87,30
"SPAC2G11.07c",5702,2493,3614,5363,3131,2436,4377,2471,2759,1856,6012,3428,3686,2433,2246,3284,3633,2392
"SPAC2G11.09",893,374,752,656,313,290,1152,658,938,282,1030,612,595,469,467,581,768,547
"SPAC2G11.12",782,366,565,252,85,150,465,264,392,226,700,486,573,420,350,535,593,451
"SPNCRNA.691",20,11,1,0,4,9,6,4,0,9,13,10,9,5,0,5,13,10
"SPNCRNA.692",33,10,28,2,12,11,9,7,19,4,16,24,23,26,15,27,17,9
"SPAC521.02",760,305,450,595,262,244,767,282,327,266,743,481,534,453,313,529,543,307
"SPAC521.03",1465,668,991,1643,782,787,2482,1277,1314,885,4300,1895,836,636,646,792,1066,570
"SPAC521.05",20942,10460,15116,15842,10262,7165,13771,7260,7632,4782,16359,10207,13181,10275,9077,13637,14924,8967
"SPAC23G3.01",4879,2051,3520,5166,2213,1979,4265,2148,2671,1819,6315,4056,3783,2378,2413,3288,3791,2360
"SPNCRNA.694",6,3,5,0,3,0,10,5,3,3,13,6,5,1,3,7,0,4
"SPAC23G3.04",163,66,125,92,40,47,120,106,127,64,198,128,143,76,100,138,143,138
"SPAC23G3.06",8545,3762,6161,7220,3930,3317,5616,2740,3628,1914,6442,4600,5668,4215,3780,5655,5487,4040
"SPAC23G3.07c",141,70,150,20,18,18,92,48,65,32,176,135,81,58,65,115,76,91
"SPAC23G3.08c",652,354,537,464,274,164,529,352,460,233,855,554,522,344,385,536,642,464
"SPAC23G3.10c",780,339,519,589,233,226,730,337,361,235,844,469,511,366,326,482,459,307
"SPAC22H12.01c",346,188,286,532,296,245,868,471,603,240,1031,527,262,153,194,266,237,184
"SPAC22H12.02",1946,812,1283,2064,881,675,1408,605,719,736,2491,1335,1317,993,672,1320,1169,776
"SPAC22H12.05c",379,140,317,600,165,108,470,254,334,160,537,331,339,191,178,252,316,227
"SPAC1687.01",929,301,546,761,403,216,368,174,178,159,553,335,441,418,355,564,558,313
"SPAC1687.04",146,74,96,100,58,88,160,113,150,68,249,127,146,123,111,115,113,99
"SPAC1687.05",511,291,547,379,137,173,320,256,343,201,491,350,436,326,322,388,387,347
"SPAC1687.06c",3281,2410,3720,3552,2031,1952,2042,2013,2458,1187,2735,2100,2730,2622,2662,3137,3939,3355
"SPNCRNA.696",30,7,9,0,6,0,9,5,6,1,23,23,14,18,2,10,18,5
"SPAC1687.11",2686,1379,2221,3177,1280,1156,1079,528,642,807,2012,1554,2109,1678,1308,1937,1824,1592
"SPAC1687.12c",754,270,576,828,333,304,549,224,284,175,719,426,502,341,345,423,573,315
"SPAC1687.14c",108,43,85,96,78,91,302,121,125,21,130,68,80,39,46,70,78,51
"SPAC1687.16c",111,65,116,20,64,52,72,55,64,35,75,64,52,62,70,79,82,90
"SPNCRNA.160",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
"SPATRNAALA.01",82,30,64,131,79,49,112,34,45,31,194,116,119,70,57,90,97,71
"SPAC1687.17c",307,144,180,265,150,108,172,112,217,106,363,274,160,138,168,204,209,137
"SPAC1687.18c",834,341,562,568,250,251,473,205,321,245,809,604,563,399,304,421,515,346
"SPAC1687.19c",1148,489,928,1028,528,415,517,399,343,375,1042,663,913,598,557,788,811,496
"SPAC1687.20c",182,122,164,159,61,35,109,65,62,79,297,246,186,94,135,108,192,105
"SPAC222.03c",828,349,505,1103,405,398,1007,319,386,331,981,449,741,481,337,762,682,426
"SPAC222.19",93,47,69,63,34,52,136,88,89,33,120,58,57,50,47,53,54,26
"SPAC222.04c",432,195,331,463,160,123,417,177,199,141,664,352,362,228,192,288,295,225
"SPAC222.06",984,529,807,1042,505,468,361,231,315,294,805,535,800,608,474,797,747,638
"SPAC222.07c",563,236,396,135,114,100,218,87,127,297,933,543,275,280,226,286,319,221
"SPAC222.08c",497,215,404,452,140,58,265,137,173,92,441,266,303,228,170,313,256,298
"SPSNRNA.02",38900,11596,20814,39355,19812,10231,31758,14936,12612,12112,48855,21896,26259,18829,15925,33387,30105,13490
"SPAC222.17",210,74,125,226,77,19,135,58,73,71,224,135,176,93,93,124,146,87
"SPNCRNA.701",10,4,10,21,6,0,11,13,11,8,24,42,21,10,20,21,18,17
"SPAC222.15",19,5,9,2,9,20,14,3,2,6,15,11,13,3,3,8,11,10
"SPAC222.18",192,70,83,219,85,46,117,64,73,86,232,119,152,115,77,135,146,56
"SPAC222.16c",161,55,113,133,54,50,143,49,55,62,252,121,109,75,86,99,153,92
"SPAC821.05",4773,2216,3390,4685,2480,1947,3858,1721,2101,1196,4033,2791,3157,2321,2017,3228,3408,2182
