,Glul,Sparcl1,Calm2,Cpe,Snap25,Ndrg4,Eef1a1,Ckb,Gng13,S100a5,Trak2,Omp,Kif5b,Sash1,Scd1,Mcf2l,Igfbp5,Nr2f2,Vtn,Frzb,Sorbs1,Timp3,Lpar1,Atf5,Npy,Sez6,Ccnd1,Tubb2b,Mest,Fmo1,Vim,Ahnak,Ptn,Id3,Baiap2,Ahcyl2,Kcnh3,Nudt4,Cldn5,Gja1,Igfbp7,Hmgcs2,Rgcc,Igf1,Gpt2,Foxd3,Unc13c,Prdx6,Rbfox3,Pmepa1,2310022B05Rik,Igfbp4,Psd,Dcn,Sh3pxd2a,Agt,Epas1,Gprin1,Ablim3,Aqp4,Bpifb9b,Mfap3l,Msi2,S100b,Ppfia1,Col1a1,Kcnj10,Plekhb1,Lrrc58,Icam5,Slc7a11,Ctxn1,B2m,Tmem132b,Gm13889,Plp1,Bpifb9a,Bgn,Phgdh,Hey2,Aspa,Prdx1,Igfbp2,Psat1,Cebpd,Gsn,Atp1a2,Abl2,Ifitm3,Kcnj4,Clca1,Cav1,Ccnd2,Slc4a4,Myo5a,Plce1,Rcn2,Bai2,Sox10,Necab2,Tax1bp3,Dpf1,Edil3,Nrep,Vstm4,Igf2,Rcn1,Wls,Camk2a,Prss23,2010300C02Rik,Trnp1,Tspan15,Tbc1d9b,Heyl,Pik3r1,Hbb-b2,Nnat,Fyco1,Ifi27l1,Mmd2,Tyro3,Fam163b,Fxyd6,Dab2ip,Lmo4,Fmnl2,Arpc1b,Bmp7,Aebp1,Limd2,S100a16,Slc13a4,Cnn3,Plekha4,Dcx,Yap1,Itm2a,Lamc1,Mdk,Dnajc6,Shisa9,Aldh1a1,Tnfrsf19,Srebf1,Slc17a7,Grasp,Rgs12,Eomes,Usp54,Shisa2,AI593442,Mt2,Zdhhc2,Cyp2j6,Kalrn,Camk4,Tshz2,Mapk8ip1,Ly6c1,Gm20594,Nfia,Col1a2,Akap12,Trh,Bag3,Fam131b,Ppp3ca,Rab3b,Arhgap33,Dtx4,Vat1l,Elovl5,Nmb,Pde5a,Lrp4,Arvcf,Scrib,Ogn,Slc38a3,Iqgap1,Col12a1,Pla2g16,Fam107a,Rasl10b,Thbs2,Phldb2,Foxo1,Tmod2,Col11a1,Sphk1,Bcl11b,Dab2,Serpine2,Camkv,Hlf,Gatm,Sp9,Rhobtb3,Gabrb2,Angptl4,Acbd7,Hadhb,Dlgap3,Fam3c,Efemp1,Aqp1,Cacng3,Syt7,Arhgap5,Prss56,Nppa,Aldh2,Hba-a2,Pip5k1c,Lcat,Desi1,Htra1,Zfp36l1,Snx18,Lrig1,Chl1,Slc35f1,Sox11,Sfrp5,Fam213a,Add2,Celf5,Cpne2,Rprml,Celf3,Cyp2a5,Slc2a1,Cav2,Wipf3,Arx,Serpinf1,Gabra5,Itpr3,Sat1,Ctsd,Igsf3,Spon1,Itga7,Jam2,Col9a2,Adcy2,Serping1,Ypel3,Ncan,Gabrg2,Reln,Alx3,Snn,Matn4,Prex1,Rps29,Ctnna1,Mycn,Islr,Vwa1,Mtss1l,Cdk17,Mrc1,Gria3,Fgfr1,Shisa3,Cald1,Hes5,Plscr4,Gfap,Plat,S100a6,Axl,Grb14,Baalc,Bcar3,Slc13a3,Ppfia2,Col16a1,Gnb2,Vsnl1,Rcan2,Cyp2j9,Pgbd5,Afap1l2,Tuba1c,Dlx1,Zfp36l2,Dclk2,Serpina3n,Adk,Fam212b,Fbln2,Dst,Zfp385a,Fibcd1,Tenm3,Gstm1,Id1,Wnt6,Apold1,Fads1,Cmtm5,Camkk2,Rab40b,Pcp4,Mbp,Vamp2,Atp1b1,Gpm6b,Slc1a2,Gad1,Hspa8,Gm1821,Scd2,Aldoa,Tspan7,Itm2b,Syt1,Hsp90aa1,Tubb2a,Tmsb4x,Atp5b,Atp5a1,Rtn3,Slc1a3,Ldhb,Rplp1,Apc,Nrgn,Cck,Camk2b,Ncdn,Gng4,Gpsm1,Penk,Cpne4,Nrsn1,Atp1a1,Syn1,Nrxn3,Aplp1,Ube2ql1,Grb2,Laptm4a,Dynll1,Sparc,Grin1,Prkca,Doc2g,Hpcal4,Lamp1,Cdhr1,Dbi,Tshz1,Pbx1,Egr1,Gabra1,Stxbp1,Gda,Snap91,Ppm1e,Agap2,Eno2,Sh3gl2,Psd3,Uqcrh,Fkbp1a,C1qtnf4,Rragd,Gapdh,Nat8l,Ctsb,Sncb,Celf1,Nrxn2,Cx3cl1,Mdh2,Dync1i1,Ttyh1,Ppp3r1,Scamp1,Calb2,Cbx6,Ncam1,Fscn1,Eif4a1,Bex2,Atp6v1e1,Kcnd2,Ap2m1,Pebp1,Cdk5r1,Rab3a,Rasgrp1,Abr,Sipa1l1,Rpl3,Ppp3cb,Hnrnph1,Mlf2,Tpt1,Chgb,Stxbp6,Eif5a,Cadm2,Dner,Mef2c,Rasl11b,Ptms,Eef1a2,Ywhaz,Ptpro,Clip3,Ubl3,Ywhaq,Slc32a1,Anks1b,Bin1,Pdhb,E030024N20Rik,Inpp5j,Ppp1cc,Ghitm,Dnm1,Rnf187,Trim9,Stmn1,Ypel5,Pnmal2,Gm5148,Tmsb10,Nap1l5,Slc22a17,Serinc3,Pgam1,Ywhah,Apoe,Fabp7,Apod,Ptgds,Kctd12,Beta-s,Sepp1,Marcks,Meis2,Nsg2,Ppia,Synpr,Tspan3,Dclk1,Mapk1,Dlgap1,Camk2n1,Arf3,Pcp4l1,Eif1,Map2,Cplx1,Mt1,Olfm1,Map2k1,H3f3a,Celf2,Cdr1,Map1b,2900097C17Rik,Purb,Atp2b1,Slc6a11,Aldoc,Gria2,Slc6a1,6330403K07Rik,Qk,Scg2,Cfl1,Meg3,Ywhag,Nptn,Calm3,Ptma,Rtn1,Stmn3,Hnrnpa2b1,Atp5g3,Cox4i1,Cd81
15.987x17.056,93,86,51,108,54,53,29,80,3,2,4,0,5,5,17,4,8,0,3,1,1,2,1,1,3,2,1,5,1,1,6,2,1,1,3,4,1,2,3,5,1,1,4,3,5,1,0,15,1,1,1,0,1,0,0,1,9,4,3,9,0,3,7,10,4,0,10,2,5,3,0,2,7,2,2,5,0,2,1,3,0,4,4,4,2,1,10,4,0,2,1,0,0,15,13,0,10,0,1,0,3,0,0,2,0,2,5,2,10,7,2,14,0,0,0,1,0,2,0,3,20,0,4,0,2,4,5,6,0,1,1,3,0,4,0,8,1,5,1,1,8,2,0,2,0,17,0,1,9,1,0,2,10,1,4,5,0,0,4,1,2,2,0,2,2,0,4,0,15,1,0,0,6,5,0,4,2,0,1,6,0,0,2,5,14,0,0,2,8,1,0,0,0,17,4,4,0,4,0,5,0,0,6,3,0,0,0,1,4,6,0,0,0,0,1,0,0,3,2,1,0,2,1,4,0,14,2,2,2,0,1,1,5,5,0,4,1,2,0,0,6,2,3,1,2,2,1,0,4,8,8,11,0,3,0,2,11,1,3,0,6,5,5,0,0,0,2,0,0,0,2,0,0,3,0,4,1,6,0,0,6,10,5,0,1,0,2,1,0,0,1,4,0,0,6,2,1,0,14,5,0,1,18,1,2,1,13,23,25,30,36,55,18,30,17,37,18,34,44,28,35,25,40,29,38,19,51,41,25,7,8,23,4,0,2,6,9,13,18,4,4,2,12,4,5,14,5,8,4,4,31,2,17,22,14,11,4,2,23,7,3,13,7,3,12,7,2,15,8,6,0,15,5,23,16,5,22,6,4,6,20,8,3,10,6,11,5,6,4,10,6,8,6,4,21,4,7,8,5,1,12,9,9,17,5,11,13,12,4,4,12,14,8,3,10,5,11,13,1,8,3,4,8,19,9,16,11,22,13,2,7,8,12,12,7,14,12,10,127,32,13,32,11,5,40,19,11,12,14,11,16,19,13,14,15,11,12,8,25,20,9,43,10,12,5,21,25,42,19,9,26,31,9,19,22,15,20,36,20,22,20,29,19,17,24,21,27,23,17
15.003x16.087,98,159,194,202,217,210,148,190,1,6,5,2,21,4,16,5,7,4,5,4,11,10,2,3,5,29,2,29,8,1,2,2,1,2,19,7,8,10,1,19,3,8,4,6,4,1,1,15,7,6,4,0,12,0,0,0,15,14,12,19,0,7,18,12,0,1,27,15,15,13,9,11,18,2,15,27,0,4,1,4,1,13,12,8,0,13,8,14,3,21,2,1,0,7,20,1,22,8,2,9,0,3,12,8,1,6,2,1,11,7,5,16,1,2,0,1,1,4,1,0,17,4,19,2,1,4,4,3,1,1,11,10,1,13,0,13,1,11,3,2,30,8,2,1,8,40,12,7,9,3,1,4,11,0,2,17,3,1,18,6,1,7,1,5,3,1,6,8,27,8,4,0,7,16,0,4,0,4,0,9,1,0,6,3,24,0,0,1,11,0,1,11,0,16,14,8,3,8,2,23,0,0,5,11,7,4,1,0,28,1,0,1,1,1,21,1,9,17,1,0,4,0,1,3,0,16,2,11,5,13,18,0,5,6,11,12,0,6,0,2,7,0,3,1,15,0,11,1,7,10,20,28,0,11,0,4,15,0,0,3,2,12,19,1,26,5,8,0,4,0,10,0,0,5,0,16,3,3,8,1,21,13,9,4,11,2,8,10,0,4,1,8,0,0,13,7,0,8,18,1,0,3,18,2,16,5,90,136,109,173,41,77,85,109,60,139,99,98,124,96,101,95,109,117,103,81,56,74,87,25,15,19,37,29,20,34,25,50,31,47,17,28,44,23,15,20,51,20,18,28,57,24,35,58,23,40,24,25,64,45,10,48,43,37,43,40,30,25,41,30,23,37,29,30,62,10,35,28,31,36,25,26,13,45,18,15,23,28,28,38,18,24,38,20,55,44,16,35,13,16,11,12,35,40,18,25,39,33,52,25,18,46,16,8,30,23,36,27,16,8,20,20,16,30,32,28,25,53,15,21,23,18,34,26,27,46,40,32,196,57,45,72,17,18,40,45,37,60,69,45,59,66,61,50,46,54,78,46,52,81,34,70,31,40,47,16,45,66,41,48,27,23,45,42,31,33,95,61,26,86,51,85,31,69,56,43,60,71,44
15.965x19.084,142,122,52,84,52,77,69,77,2,2,5,6,16,11,3,5,6,1,2,0,8,8,2,0,4,3,6,3,1,5,6,2,5,3,1,5,1,2,9,25,5,1,4,4,5,0,0,13,6,4,3,0,2,1,4,1,15,1,4,28,1,2,13,11,2,2,29,6,24,2,0,2,10,2,4,7,0,0,1,0,0,4,9,3,1,5,17,4,0,3,0,4,2,21,25,0,23,4,1,1,0,0,4,2,0,4,6,8,8,4,2,12,0,0,1,0,2,1,1,4,19,0,4,1,1,4,1,1,2,0,1,0,2,4,0,3,3,10,0,2,10,12,0,2,6,21,1,2,2,1,1,3,8,0,0,2,0,4,9,10,4,4,0,0,4,1,2,8,14,0,5,2,7,5,0,2,1,1,0,17,1,0,3,8,14,0,1,0,12,0,1,0,0,23,3,10,9,2,6,10,0,0,5,7,1,1,0,0,7,0,2,2,5,1,2,3,9,12,2,0,1,1,0,2,0,11,0,6,2,4,6,2,6,1,0,2,1,3,0,3,15,1,3,0,7,1,2,0,3,2,10,11,0,4,2,5,12,0,1,3,5,7,2,0,3,15,6,4,1,2,0,1,0,2,1,16,2,3,1,0,4,4,4,4,1,0,3,0,1,2,0,4,1,1,6,1,0,10,20,6,2,3,8,1,4,2,19,30,44,29,79,76,20,23,18,70,24,78,75,33,32,44,31,37,42,23,89,44,48,14,3,28,8,7,1,3,5,13,21,14,6,5,10,4,7,25,12,20,6,1,43,8,11,17,21,12,10,4,21,16,2,16,12,8,10,2,16,18,11,9,8,16,7,11,16,12,15,10,3,5,26,9,6,13,2,3,3,13,10,10,9,5,20,8,10,17,7,6,13,11,9,15,14,4,5,15,14,19,16,6,10,17,13,5,10,18,18,10,5,14,4,8,3,16,12,8,7,9,16,1,7,13,10,12,12,5,4,22,194,47,14,44,14,50,52,15,12,17,24,30,35,13,21,12,29,18,26,24,22,36,33,19,11,20,21,50,49,44,25,19,42,45,34,51,21,24,26,15,13,26,22,14,17,11,17,16,21,36,14
15.979x20.048,116,118,56,104,56,49,37,65,2,4,4,0,4,8,11,7,6,1,1,3,6,9,0,1,1,3,0,3,0,0,2,0,1,11,0,3,1,6,5,9,4,1,0,3,1,0,0,11,2,2,2,1,2,1,0,2,5,1,2,17,1,1,9,4,1,1,26,2,9,1,1,7,9,0,1,9,0,0,1,1,0,1,7,4,0,1,4,1,2,4,0,0,0,14,6,0,12,0,1,1,0,0,4,2,1,5,0,0,4,2,4,13,0,5,0,4,1,0,1,1,8,0,1,1,0,2,3,3,0,0,1,2,0,1,0,4,0,12,0,1,7,2,1,0,2,14,1,1,3,0,2,2,3,0,0,4,0,7,8,0,1,1,0,1,1,1,0,0,11,2,0,0,8,4,0,1,0,1,1,7,2,0,3,1,5,0,0,1,3,0,0,1,2,9,0,11,2,2,1,11,0,0,6,2,3,2,1,1,3,2,2,0,6,5,5,0,3,6,0,1,1,1,0,4,0,13,0,1,0,2,5,0,4,0,1,1,1,4,0,0,5,0,6,0,7,2,6,0,3,5,4,16,0,7,0,5,3,0,1,5,0,2,2,0,1,7,5,2,1,1,0,0,0,3,1,15,3,1,6,0,6,3,9,3,2,0,1,7,1,0,0,2,2,0,4,2,0,0,6,2,0,1,9,0,2,3,12,42,20,44,38,51,17,32,24,47,27,57,46,20,21,25,34,43,48,30,48,16,30,8,0,46,10,3,0,7,9,9,20,8,6,1,8,7,2,6,11,14,1,3,29,3,22,31,15,13,1,11,18,16,1,10,7,9,14,8,7,16,12,10,5,9,6,12,16,6,5,10,6,7,11,16,2,7,6,4,8,1,14,9,5,9,11,17,15,20,6,5,8,6,7,13,6,19,0,7,13,16,8,2,5,13,10,3,5,9,12,4,5,8,1,1,4,11,18,12,14,6,14,10,6,8,9,21,6,13,8,13,137,38,22,36,8,82,27,15,9,12,15,18,26,19,19,15,15,11,14,18,22,33,16,37,10,11,11,23,25,21,14,17,33,18,9,26,10,25,21,28,4,39,15,21,15,31,12,22,31,25,11
15.982x18.073,108,144,51,93,57,60,65,78,6,5,6,0,7,7,10,4,9,0,2,5,4,5,2,5,4,5,1,9,5,3,4,2,5,1,3,5,2,2,4,17,0,1,1,9,1,0,0,10,1,1,3,2,1,0,0,0,6,4,1,16,0,8,13,15,5,0,23,5,15,4,0,4,3,0,7,6,0,1,0,2,0,8,5,1,0,4,23,5,2,10,1,0,0,10,20,0,19,2,1,1,0,1,3,11,0,1,3,0,5,4,5,7,0,3,0,3,2,1,0,2,19,1,5,1,3,7,0,0,1,0,1,4,1,5,0,3,1,6,1,4,13,7,1,0,1,9,2,0,3,0,1,2,10,0,0,4,3,1,7,7,1,3,0,2,4,0,4,3,4,1,1,0,20,1,2,4,0,2,0,11,2,0,0,5,14,1,0,2,11,0,0,2,0,8,6,18,5,4,6,9,1,0,12,11,5,0,0,1,12,0,1,0,3,5,6,0,3,11,2,0,0,0,1,1,0,6,3,5,0,0,4,2,4,1,2,6,0,2,0,1,12,1,3,2,3,1,3,0,1,9,5,9,0,8,0,4,4,2,0,3,2,9,3,0,1,4,5,3,1,0,7,0,0,5,1,8,1,5,1,1,4,8,11,3,3,1,1,5,1,2,0,4,2,0,14,3,1,4,19,0,0,2,10,4,4,2,26,34,26,39,55,93,16,36,38,54,42,63,50,30,42,28,37,47,48,24,77,33,34,11,7,28,8,4,9,8,12,8,28,11,7,12,16,6,1,13,19,21,3,2,40,9,22,14,20,11,9,12,9,18,4,13,13,14,14,7,15,18,14,4,9,18,9,11,26,13,3,4,10,5,24,6,3,16,3,9,4,14,17,16,3,6,7,7,21,16,11,13,11,5,12,5,22,3,5,4,23,16,5,6,7,22,9,2,7,18,18,11,8,6,3,12,6,25,12,8,20,9,10,6,12,15,16,14,11,12,9,28,187,32,18,46,18,53,43,14,25,11,33,21,28,16,11,24,25,23,17,14,25,22,27,42,19,14,15,34,53,27,25,13,26,38,32,31,25,30,29,35,20,38,18,20,14,25,20,32,32,27,18
15.087x18.088,87,161,141,149,216,188,149,147,3,10,6,1,14,6,11,9,12,1,8,4,16,16,3,2,13,24,0,15,4,0,7,2,5,8,11,4,2,14,2,15,1,1,2,5,3,0,1,20,20,3,4,0,14,0,1,0,13,14,10,18,0,8,13,9,3,3,25,1,25,5,1,5,20,2,13,21,2,0,3,1,1,14,7,6,1,12,7,12,3,11,0,2,5,15,23,0,16,1,1,4,3,2,5,13,0,3,1,1,12,10,5,18,1,7,0,10,4,1,9,2,17,2,14,4,1,5,4,3,4,0,8,5,1,8,0,5,1,18,4,3,30,7,1,1,2,52,2,15,8,6,2,1,26,2,0,4,1,0,14,11,1,2,0,4,2,0,17,7,10,2,2,2,15,10,0,1,0,1,0,17,2,1,1,7,19,1,0,3,17,1,0,11,0,14,7,15,5,15,1,32,0,0,2,10,9,0,2,3,18,12,1,0,4,5,6,0,7,24,2,5,2,0,3,0,1,11,9,10,1,11,9,0,11,1,0,10,0,12,0,1,13,1,10,0,17,2,4,3,8,3,24,36,0,31,0,16,17,0,1,0,4,13,15,0,10,11,23,3,2,2,4,2,0,9,3,25,1,1,4,0,11,9,11,1,13,0,3,9,5,1,1,11,1,0,3,2,0,1,11,0,3,6,12,2,9,3,96,86,104,151,58,85,101,124,65,103,98,84,105,74,77,81,124,123,87,79,67,72,58,29,15,19,20,39,17,18,14,12,41,30,11,11,25,33,21,26,42,31,16,11,60,19,38,52,19,24,12,15,47,43,12,44,33,21,34,30,29,42,36,24,16,31,21,25,33,9,22,27,23,25,23,16,18,43,31,13,17,16,21,34,19,32,36,19,39,24,25,24,24,11,18,11,61,30,24,22,23,27,17,27,25,49,24,19,21,31,20,36,16,13,28,8,22,38,48,29,29,30,24,20,26,14,22,19,22,28,23,46,215,42,40,46,31,54,58,19,55,47,53,59,53,48,45,58,50,51,55,44,81,81,33,79,32,27,38,32,66,39,48,44,31,41,38,48,40,34,71,63,36,51,59,63,47,49,52,57,60,49,44
15.043x19.053,84,140,153,146,190,128,138,141,3,1,13,0,20,4,22,7,5,0,2,6,7,8,3,1,4,20,1,12,2,0,2,1,0,1,4,0,5,19,0,30,1,0,0,1,5,2,0,5,11,7,4,0,7,0,2,2,6,14,21,15,0,7,9,8,8,2,27,10,14,9,0,3,12,0,14,8,0,0,2,1,1,9,4,5,0,2,11,18,1,14,2,2,0,17,22,0,15,9,2,7,0,10,8,5,0,3,4,1,13,10,13,8,3,1,1,0,0,1,0,2,15,0,21,3,1,3,2,3,3,2,7,3,1,11,0,6,4,6,2,1,24,2,0,1,0,29,3,2,10,2,0,1,16,0,0,7,9,7,15,1,1,0,0,2,3,0,8,5,27,3,2,0,11,14,0,2,2,2,0,14,0,0,3,4,24,0,0,2,12,1,1,10,0,35,10,11,5,8,1,24,0,1,2,9,2,0,1,3,21,5,1,0,7,4,14,1,16,11,3,0,0,0,3,6,0,8,2,3,2,4,8,1,7,2,10,11,0,12,0,3,11,0,7,0,5,1,7,0,11,3,25,35,0,14,0,12,18,3,2,3,1,10,16,0,6,13,16,1,6,0,6,1,0,4,3,22,1,1,16,0,12,3,24,2,8,0,3,9,3,7,0,9,0,2,4,1,0,8,6,4,0,4,10,1,13,8,70,85,122,173,73,82,115,128,71,94,82,95,118,104,81,84,99,83,77,62,69,52,50,34,13,21,18,37,30,25,32,39,21,39,22,21,22,24,19,11,32,33,17,27,29,31,18,43,16,41,11,31,26,39,27,51,31,21,28,19,23,28,30,25,29,34,21,22,31,14,24,29,23,14,25,31,8,42,16,5,27,30,37,29,22,24,16,11,49,54,19,23,20,17,27,28,30,34,15,21,29,31,28,27,15,32,25,19,22,19,35,20,14,21,12,20,26,34,23,44,45,30,7,22,26,33,26,30,23,26,46,59,161,40,27,62,17,136,31,30,59,52,63,61,43,52,66,53,35,29,60,47,49,69,35,52,37,41,38,25,50,41,50,48,28,45,40,38,31,38,69,55,52,69,42,53,32,72,58,53,68,49,35
15.03x20.071,93,77,94,130,106,96,93,76,5,10,13,2,12,4,13,10,12,3,1,2,6,0,3,2,2,15,1,4,4,1,3,1,0,2,6,7,10,9,5,10,2,1,1,0,4,1,0,11,6,0,1,1,6,2,0,1,11,5,4,13,0,5,4,12,1,0,14,12,9,6,1,8,13,2,7,10,1,1,1,0,1,3,3,7,0,5,7,2,1,7,1,1,0,9,19,0,14,9,2,4,1,2,3,9,1,2,0,3,8,2,2,7,1,8,0,1,0,0,3,4,10,4,12,0,0,2,4,1,3,4,5,3,0,6,0,10,0,7,1,2,17,0,2,0,4,15,2,4,0,5,0,2,9,0,5,6,2,2,11,2,1,5,2,0,1,0,12,7,18,2,0,0,24,12,1,2,4,1,1,8,2,1,2,5,14,0,0,1,11,3,0,5,1,17,8,10,4,8,4,11,0,1,10,7,4,4,0,2,15,3,1,0,8,2,5,0,8,7,0,4,1,0,1,2,0,6,4,6,0,3,7,0,4,1,8,5,0,7,1,5,12,1,6,1,11,4,1,1,6,6,17,7,0,4,0,8,12,1,0,3,2,16,12,0,11,2,8,6,1,1,2,2,1,2,1,19,1,0,5,2,4,4,11,4,6,0,4,2,1,0,0,8,2,0,4,1,1,7,5,1,0,3,3,0,5,1,32,52,41,120,41,77,58,49,28,72,45,59,83,53,42,65,88,58,58,51,33,58,56,28,11,15,30,20,15,9,7,18,28,15,6,12,14,17,14,17,28,21,5,10,29,17,27,26,13,19,11,20,17,23,12,20,19,12,20,5,25,13,15,18,12,15,4,24,31,12,14,19,20,16,25,12,9,19,7,17,9,21,28,22,9,22,18,17,18,28,20,12,8,6,15,11,14,18,12,13,18,10,19,22,18,19,12,16,10,17,20,15,8,8,6,3,10,19,17,14,19,27,26,17,15,12,11,27,13,18,18,28,148,33,20,32,16,29,40,25,26,39,25,44,45,42,27,31,36,29,34,31,59,41,26,48,20,18,33,16,36,40,36,22,20,17,25,38,16,31,37,49,22,47,30,25,25,41,37,54,32,23,25
13.963x18.117,75,90,216,174,193,222,162,232,3,6,8,1,13,7,13,7,11,4,1,5,17,2,1,2,2,43,2,34,8,3,5,0,3,5,27,6,18,10,0,16,5,0,3,0,1,0,3,12,35,15,2,0,13,4,1,0,15,26,19,9,0,3,4,7,6,0,7,12,14,22,1,33,12,2,39,8,0,3,2,1,1,18,1,7,0,13,6,22,3,22,1,2,1,10,15,0,9,17,2,20,1,4,7,17,1,7,3,5,24,7,24,14,0,3,1,2,1,3,0,1,5,16,21,5,0,5,4,0,0,0,15,5,2,12,0,29,1,8,1,3,21,12,1,0,0,8,14,10,1,5,0,1,10,6,1,17,8,1,16,0,1,1,0,1,2,0,16,14,3,2,0,2,6,9,1,2,0,4,0,1,1,0,2,4,14,0,0,0,15,1,0,14,1,25,29,10,2,16,3,7,1,0,4,10,4,1,0,9,10,2,0,0,2,0,18,1,26,6,0,1,0,2,0,1,0,11,8,19,0,8,6,0,3,2,4,17,0,10,2,1,11,4,3,1,7,1,15,1,31,2,14,14,0,15,0,11,11,1,6,0,3,16,19,0,23,7,3,3,0,1,7,11,0,2,2,8,2,0,13,0,15,11,7,0,10,0,5,8,1,11,1,8,0,0,1,2,0,17,5,3,0,1,18,1,25,7,119,98,97,121,46,61,112,130,138,106,113,79,124,60,80,91,88,123,80,75,48,67,83,25,76,11,54,55,19,30,43,57,17,57,30,39,54,46,30,22,57,28,34,43,18,18,23,8,17,55,17,25,9,58,18,58,38,39,48,32,33,30,38,48,26,56,36,27,20,23,38,55,35,18,14,49,33,23,25,26,26,35,38,27,25,19,53,20,57,24,37,35,23,30,56,37,28,21,20,29,23,35,15,27,28,39,18,18,17,34,49,39,26,22,20,28,18,42,29,43,46,37,34,42,31,27,20,42,58,33,35,49,116,37,31,54,27,5,34,47,61,66,84,101,47,103,86,62,67,64,79,53,59,43,34,47,67,44,46,4,34,57,38,55,27,20,64,28,45,32,34,51,44,68,69,81,51,82,40,68,56,56,43
14.018x20.086,81,122,209,112,184,175,137,157,3,6,4,2,14,6,3,11,8,6,1,3,8,3,4,2,2,43,2,17,6,1,6,1,2,2,18,11,6,9,2,11,1,2,0,1,2,0,1,7,23,5,0,0,12,1,3,0,22,12,11,9,1,6,7,5,4,0,18,4,14,24,1,23,8,0,38,30,0,0,5,3,1,20,4,6,1,3,5,4,0,12,0,0,0,14,11,2,9,7,1,8,2,9,5,16,1,5,3,2,17,2,23,8,2,2,0,9,3,7,0,1,14,12,6,3,0,4,1,1,2,2,5,5,1,5,2,5,2,14,0,2,8,2,1,0,5,3,6,7,2,2,0,0,13,0,2,12,4,2,9,2,1,4,0,3,4,0,11,26,8,12,0,2,7,6,1,1,1,3,1,12,0,0,1,2,18,1,1,0,20,3,0,11,0,17,15,3,5,14,1,10,0,0,4,25,2,1,1,8,5,0,1,0,3,2,13,1,13,12,0,1,2,1,0,8,0,12,9,15,1,14,14,0,6,2,14,7,0,10,0,3,5,14,10,1,6,0,10,1,20,1,13,3,0,15,1,9,10,2,2,4,0,8,15,0,9,3,3,0,2,0,6,2,0,11,1,10,0,1,11,1,11,9,8,3,8,0,3,12,2,13,2,4,0,0,6,3,0,13,24,0,1,0,7,2,13,4,91,110,83,117,43,50,42,116,84,91,91,67,136,72,52,71,92,93,74,77,61,68,54,28,42,13,46,23,22,27,40,53,24,19,19,25,41,29,30,19,50,35,27,19,16,32,24,11,15,42,23,22,12,33,23,32,38,30,36,32,42,31,31,33,33,32,12,30,15,24,32,20,21,21,40,33,14,15,31,26,27,23,30,30,10,9,25,27,29,25,16,18,12,16,27,13,29,24,10,23,12,19,37,26,26,20,19,21,16,45,44,23,25,25,23,23,15,36,37,30,38,32,19,23,22,23,25,18,35,26,31,47,147,32,37,51,21,15,21,40,65,59,72,75,41,54,51,53,75,61,57,43,52,51,20,29,62,36,54,24,33,29,39,54,27,39,51,36,33,33,50,54,39,49,53,45,43,59,25,68,34,30,55
13.051x18.114,60,59,69,108,73,68,121,76,0,3,6,1,7,3,13,2,12,4,2,1,5,7,2,2,3,16,2,46,4,1,5,2,0,1,5,7,10,7,0,10,4,0,0,4,6,0,0,21,8,4,7,0,10,0,0,0,10,12,6,13,0,1,10,3,0,1,9,9,8,5,4,10,5,4,14,34,0,2,6,0,2,8,3,3,0,11,3,6,1,4,0,0,3,7,9,0,13,13,5,4,2,3,2,34,1,3,2,2,9,2,6,1,2,0,2,2,2,5,5,1,16,2,7,2,0,4,5,4,0,0,2,5,0,8,0,29,3,4,2,5,7,3,1,0,5,3,2,8,3,3,1,2,29,0,1,6,5,1,7,3,0,1,0,3,2,1,2,5,4,6,0,1,6,6,1,4,0,6,1,5,2,0,3,1,7,0,0,4,6,2,0,4,1,10,2,4,3,7,3,1,0,0,7,5,3,5,1,5,3,3,0,0,2,0,12,1,7,3,4,2,0,0,2,24,0,5,8,6,0,2,10,1,2,1,1,11,0,5,0,1,8,0,4,0,3,0,7,0,3,2,5,8,0,10,0,3,11,2,6,10,1,7,4,0,6,7,4,1,3,1,13,3,6,3,2,4,0,9,4,2,15,5,9,3,4,3,5,12,1,14,1,0,1,1,3,1,0,10,13,0,1,1,23,3,5,6,34,273,53,48,61,34,43,72,57,87,33,40,76,23,29,56,83,43,61,46,59,40,60,20,7,10,19,5,9,10,30,19,13,23,8,10,28,16,5,22,33,18,6,11,9,8,20,7,33,17,11,12,12,20,2,22,19,12,20,10,20,24,14,8,13,19,3,14,18,14,15,11,16,10,15,12,9,8,21,17,21,15,16,9,6,15,20,24,17,12,12,14,11,15,27,21,27,5,12,11,12,20,12,3,24,15,9,9,16,19,31,13,8,10,2,13,11,23,26,11,23,21,50,7,19,27,58,16,28,24,18,15,129,25,21,50,14,6,29,48,29,15,40,35,40,25,16,14,31,14,33,24,44,20,50,48,14,45,27,6,29,14,29,18,13,20,20,18,29,51,20,48,38,31,19,22,57,53,19,44,30,21,46
