gene,sv_genes_gpcounts,sv_genes_spatialde,LLR_gpcounts,LLR_spatialde
Unc13c,Unc13c,,37.34792515,17.58713442
Ndrg4,Ndrg4,,37.19769027,6.040660573
Prdx6,Prdx6,,37.10530837,6.868351802
Rbfox3,Rbfox3,,36.99895779,14.94824927
Pmepa1,Pmepa1,,36.26351494,14.01759629
2310022B05Rik,2310022B05Rik,,36.22308938,9.18922014
Igfbp4,Igfbp4,,36.05019167,12.87828091
Psd,Psd,,36.01928325,12.78498404
Dcn,Laptm4a,,35.98312182,6.17000855
Laptm4a,Dcn,,35.96732925,3.694083063
Dynll1,Dynll1,,35.68752465,3.71929201
Dclk1,Tspan3,,35.51395814,0.693124397
Tspan3,Dclk1,,35.50180786,4.442040777
Sparc,Sparc,,35.49299157,7.912576003
Mapk1,Mapk1,,35.3089578,8.202288954
Dlgap1,Dlgap1,,34.96643853,8.857833064
Camk2n1,Camk2n1,,34.72327228,7.924309354
Sh3pxd2a,Grin1,,34.6709437,10.31992345
Grin1,Sh3pxd2a,,34.66175739,4.448960009
Agt,Agt,,34.41510409,12.05116437
Prkca,Prkca,,34.2535045,10.86045065
Epas1,Epas1,,34.04966789,3.643222704
Gprin1,Gprin1,,34.00363812,9.812836368
Slc1a2,Slc1a2,,33.73497301,27.57921009
Arf3,Arf3,,33.57871454,7.50656079
Aqp4,Ablim3,,33.51231315,15.86474978
Ablim3,Aqp4,,33.49412342,11.92181486
Bpifb9b,Bpifb9b,,33.3111907,6.608858145
Mfap3l,Mfap3l,,33.22942128,7.616735251
Msi2,Msi2,,33.03292026,12.22847145
Doc2g,Doc2g,,32.94990493,30.64215413
Hpcal4,Hpcal4,,32.91144652,10.69611934
S100b,S100b,,32.7718039,5.011771064
Ppfia1,Ppfia1,,32.66257592,9.338836431
Col1a1,Col1a1,,32.55327203,3.759174408
Plekhb1,Kcnj10,,32.49210084,10.07382106
Kcnj10,Plekhb1,,32.4884314,10.70870204
Lrrc58,Lrrc58,,32.41389261,11.79410668
Lamp1,Lamp1,,32.3937056,4.90610393
Cdhr1,Cdhr1,,32.33876864,25.42743699
Dbi,Dbi,,32.29390601,10.7804271
Icam5,Icam5,,32.23213672,7.523407018
Tshz1,Tshz1,,32.01886707,9.634650961
Slc7a11,Slc7a11,,31.67789807,7.234500411
Ctxn1,Ctxn1,,31.27984614,12.43200518
B2m,B2m,,31.10009357,7.401844089
Pbx1,Pbx1,,30.96676811,15.38019648
Pcp4l1,Pcp4l1,,30.54599934,6.396204778
Tmem132b,Tmem132b,,30.39002139,7.380809997
Gm13889,Gm13889,,29.80714261,13.27382114
Egr1,Egr1,,29.74715137,11.61427133
Plp1,Plp1,,29.68766619,12.10708744
Bpifb9a,Bpifb9a,,29.56733484,5.646662861
Eif1,Eif1,,29.32119449,4.302249005
Gabra1,Bgn,,29.15540991,19.15137482
Bgn,Gabra1,,29.15398533,6.182490845
Phgdh,Phgdh,,29.14487754,10.17614217
Hey2,Hey2,,29.10309113,2.726955443
Aspa,Aspa,,29.02818713,3.081796704
Prdx1,Prdx1,,28.95573622,11.2477034
Stxbp1,Stxbp1,,28.78911329,4.22354664
Gda,Gda,,28.59058772,7.018745866
Gad1,Gad1,,28.58105242,0.982117389
Snap91,Snap91,,28.46510754,4.330033515
Igfbp2,Igfbp2,,28.25344609,16.80018005
Ppm1e,Ppm1e,,28.2115876,3.64618224
Agap2,Agap2,,28.16020869,5.694129529
Psat1,Psat1,,28.0361813,5.20022885
Cebpd,Cebpd,,27.99723022,5.130528418
Eno2,Eno2,,27.96701929,6.765588606
Sh3gl2,Sh3gl2,,27.92253574,9.503697806
Gsn,Gsn,,27.65320678,7.07408095
Atp1a2,Atp1a2,,27.44898209,6.925605398
Abl2,Abl2,,27.31295875,11.97281089
Ifitm3,Ifitm3,,27.27674909,2.913293826
Psd3,Psd3,,27.12957875,8.938966575
Kcnj4,Kcnj4,,27.03057615,6.042608686
Clca1,Clca1,,26.53512525,5.245754374
Cav1,Cav1,,26.4464749,5.321025052
Ccnd2,Ccnd2,,26.44141073,12.44374482
Slc4a4,Slc4a4,,26.22607766,3.432041475
Uqcrh,Map2,,26.19189765,2.566559994
Map2,Uqcrh,,26.18753113,9.682030458
Cplx1,Cplx1,,26.02641937,17.96649061
Mt1,Mt1,,25.95276968,8.36047356
Eef1a1,Eef1a1,,25.83275745,13.01939
Myo5a,Myo5a,,25.55328999,11.91109453
Fkbp1a,Fkbp1a,,25.50265204,4.671207153
Rcn2,Plce1,,25.18947227,10.41281498
Plce1,Rcn2,,25.18721625,3.10988107
Bai2,Bai2,,25.01260265,5.116406344
Sox10,Sox10,,24.9959963,6.029346309
Necab2,Necab2,,24.7071457,14.21514662
Tax1bp3,Tax1bp3,,24.67401427,4.574182054
Dpf1,Dpf1,,24.39220419,9.608729865
Olfm1,Olfm1,,24.27301708,13.49885036
Edil3,Edil3,,24.21684609,3.084034602
Nrep,Nrep,,23.9141738,7.092947534
Vstm4,Hspa8,,23.55035091,4.635423577
Hspa8,Vstm4,,23.54831023,3.370896651
Igf2,Gm1821,,23.33137286,1.753825082
Gm1821,Igf2,,23.3307899,1.610368175
Rcn1,Rcn1,,22.91355956,3.474003118
C1qtnf4,C1qtnf4,,22.88514941,2.95618382
Wls,Wls,,22.81429738,3.164930783
Rragd,Rragd,,22.65617528,4.385098879
Map2k1,Map2k1,,22.60208243,3.173093607
Camk2a,Scd2,,22.58482733,11.06344489
Gapdh,Camk2a,,22.57564565,5.621395046
Scd2,Gapdh,,22.56648826,3.819386764
Prss23,Prss23,,22.43427694,4.103504269
H3f3a,H3f3a,,22.34736766,4.179841054
2010300C02Rik,2010300C02Rik,,22.31558576,4.494299443
Trnp1,Trnp1,,22.23291158,14.17381849
Celf2,Celf2,,22.07221343,4.870728671
Tspan15,Tspan15,,22.00977003,2.239107915
Nat8l,Nat8l,,21.79478932,5.676017251
Tbc1d9b,Tbc1d9b,,21.73056145,3.611309467
Ctsb,Ctsb,,21.68321834,6.617346135
Heyl,Sncb,,21.67803649,3.166351653
Sncb,Cdr1,,21.67363731,11.14085139
Cdr1,Heyl,,21.67151755,25.97454943
Pik3r1,Pik3r1,,21.65429259,3.936159447
Hbb-b2,Hbb-b2,,21.64423909,2.047952239
Celf1,Celf1,,21.54506061,3.972207747
Map1b,Map1b,,21.39621293,12.79866129
Aldoa,Aldoa,,21.14470684,3.186743711
2900097C17Rik,2900097C17Rik,,21.09939015,12.6397693
Purb,Purb,,21.03615307,7.06451404
Nnat,Nnat,,20.85755788,10.90056857
Nrxn2,Nrxn2,,20.83869853,1.377007646
Cx3cl1,Cx3cl1,,20.79435224,4.50779541
Fyco1,Fyco1,,20.72555329,3.441428772
Ifi27l1,Ifi27l1,,20.65051201,3.217984484
Mmd2,Mmd2,,20.63900964,1.898116881
Tyro3,Tyro3,,20.5643555,9.049922995
Atp2b1,Atp2b1,,20.54701527,1.774288506
Fam163b,Fam163b,,20.48353551,8.087938517
Fxyd6,Fxyd6,,20.47827207,4.495273062
Mdh2,Mdh2,,20.40747488,3.096056292
Dync1i1,Dync1i1,,20.40108671,7.14164587
Dab2ip,Dab2ip,,20.32441486,1.877934269
Ttyh1,Ttyh1,,20.20389289,2.936777613
Lmo4,Lmo4,,20.17969811,6.614641155
Fmnl2,Fmnl2,,20.10642103,7.19506014
Arpc1b,Arpc1b,,20.05524381,2.929103238
Bmp7,Bmp7,,19.90508076,3.59435311
Ppp3r1,Ppp3r1,,19.85013705,3.547928933
Aebp1,Aebp1,,19.84989769,8.662257395
Limd2,Limd2,,19.83228942,7.882307144
Slc6a11,Slc6a11,,19.79985114,16.48469974
S100a16,S100a16,,19.77365545,7.140102881
Tspan7,Tspan7,,19.59058543,16.97436935
Slc13a4,Slc13a4,,19.5193812,6.375504918
Cnn3,Cnn3,,19.45011622,7.106000319
Plekha4,Plekha4,,19.24374537,5.083125837
Dcx,Dcx,,19.23340625,5.125360692
Yap1,Yap1,,19.21267864,2.910656377
Itm2a,Itm2a,,19.05964627,1.945927799
Scamp1,Scamp1,,19.01739731,3.054093615
Lamc1,Lamc1,,18.83343479,1.471898084
Mdk,Mdk,,18.76970359,5.018961987
Dnajc6,Dnajc6,,18.74723374,12.40260942
Shisa9,Shisa9,,18.61612251,7.76475732
Aldh1a1,Aldh1a1,,18.58305048,0.726522876
Calb2,Calb2,,18.37877806,9.922225348
Tnfrsf19,Tnfrsf19,,18.30131018,5.794380294
Cbx6,Cbx6,,18.16756171,5.563252998
Srebf1,Srebf1,,18.15265886,0.970986281
Slc17a7,Slc17a7,,18.08330475,15.39548477
Grasp,Grasp,,18.04942761,6.309492506
Rgs12,Rgs12,,17.94639342,5.520433492
Itm2b,Itm2b,,17.85859684,4.829220138
Eomes,Eomes,,17.80291392,10.77109252
Usp54,Usp54,,17.74642785,1.320037881
Shisa2,Shisa2,,17.71877052,12.14096476
Syt1,Syt1,,17.64685133,12.4606224
Hsp90aa1,Hsp90aa1,,17.61764366,5.064065387
Ncam1,Ncam1,,17.53255977,11.97920222
AI593442,AI593442,,17.50517635,8.306772733
Mt2,Mt2,,17.48315698,6.961921188
Fscn1,Fscn1,,17.47550293,2.531407617
Zdhhc2,Zdhhc2,,17.47233094,11.70713504
Eif4a1,Eif4a1,,17.38497723,2.268322768
Tubb2a,Tubb2a,,17.32921796,5.012030837
Cyp2j6,Cyp2j6,,17.28137223,0.891547849
Kalrn,Kalrn,,17.21864444,5.108343892
Camk4,Camk4,,17.20995768,10.4424405
Tshz2,Tshz2,,17.17173065,1.967839825
Mapk8ip1,Mapk8ip1,,17.03737305,0.78300846
Ckb,Ckb,,17.01422393,10.89630152
Ly6c1,Ly6c1,,17.00563238,4.063980908
Gm20594,Gm20594,,16.97741287,0.359330195
Nfia,Nfia,,16.84541099,4.825949783
Col1a2,Col1a2,,16.72489982,1.081426833
Akap12,Akap12,,16.65312239,1.566181961
Trh,Trh,,16.6316926,5.496973518
Bag3,Bag3,,16.61902988,5.301722268
Bex2,Bex2,,16.5412559,1.733255536
Fam131b,Fam131b,,16.53547851,4.391484861
Ppp3ca,Ppp3ca,,16.47023213,10.03420285
Aldoc,Aldoc,,16.46918174,7.751767777
Rab3b,Rab3b,,16.39196657,14.63086966
Arhgap33,Arhgap33,,16.3489943,14.58068324
Dtx4,Dtx4,,16.31425661,2.336804894
Gria2,Gria2,,16.21944893,4.381682065
Tmsb4x,Tmsb4x,,16.18517411,3.714090086
Nmb,Vat1l,,16.13927702,7.476682677
Elovl5,Elovl5,,16.13392332,5.808595099
Vat1l,Nmb,,16.12984395,7.18504656
Pde5a,Pde5a,,16.12424258,7.221135522
Lrp4,Lrp4,,16.08429297,2.014675977
Atp6v1e1,Atp6v1e1,,16.06446167,0.875264983
Arvcf,Arvcf,,16.0447869,2.586707955
Scrib,Scrib,,16.03743961,0.913167931
Kcnd2,Kcnd2,,15.99599881,5.554499503
Atp5b,Atp5b,,15.89799172,8.457406978
Ogn,Ogn,,15.83144888,4.610705572
Ap2m1,Ap2m1,,15.8191911,1.736005171
Slc38a3,Slc38a3,,15.78820723,11.08479009
Col12a1,Iqgap1,,15.76423921,2.832137234
Iqgap1,Col12a1,,15.75887691,4.167269679
Fam107a,Pla2g16,,15.7116506,0.996500213
Pla2g16,Fam107a,,15.71153075,0.612333343
Rasl10b,Rasl10b,,15.69350552,11.23931573
Thbs2,Thbs2,,15.63850015,5.672179336
Pebp1,Pebp1,,15.6253852,7.322310316
Cdk5r1,Cdk5r1,,15.53080325,2.964244711
Phldb2,Phldb2,,15.4936874,4.544594592
Rab3a,Rab3a,,15.42834536,4.146796985
Foxo1,Foxo1,,15.36193192,3.72181924
Rasgrp1,Rasgrp1,,15.27203798,3.494476724
Abr,Abr,,15.24671396,0.990875464
Tmod2,Tmod2,,15.24113044,4.146685334
Col11a1,Col11a1,,15.23464564,3.830291532
Sphk1,Sphk1,,15.22666761,4.146443593
Bcl11b,Bcl11b,,15.20840489,2.627535522
Dab2,Dab2,,15.17104515,1.118825049
Sipa1l1,Sipa1l1,,15.14538411,3.312457392
Serpine2,Serpine2,,15.11905412,6.312027757
Camkv,Camkv,,15.05598113,0.8736921
Hlf,Hlf,,15.03740419,11.12980917
Gatm,Gatm,,14.8921927,1.677610465
Sp9,Sp9,,14.84783064,6.399698638
Rhobtb3,Rhobtb3,,14.82092454,2.125843714
Rpl3,Rpl3,,14.7858003,4.312291441
Ppp3cb,Ppp3cb,,14.68988129,2.783962033
Gabrb2,Gabrb2,,14.58887561,12.04680871
Angptl4, Sep-15,,14.58297928,2.953737466
Sep-15,Angptl4,,14.57774318,3.423591966
Hnrnph1,Hnrnph1,,14.53876139,2.431406144
Acbd7,Acbd7,,14.49040848,3.784298355
Hadhb,Hadhb,,14.42831914,0.699873791
Dlgap3,Dlgap3,,14.42490952,6.594488728
Slc6a1,Slc6a1,,14.39470335,4.108249583
6330403K07Rik,6330403K07Rik,,14.35895572,9.09877442
Fam3c,Fam3c,,14.35628267,1.642423522
Efemp1,Efemp1,,14.34978373,3.426150858
Aqp1,Aqp1,,14.32144117,3.49036843
Cacng3,Cacng3,,14.26180035,8.491524059
Syt7,Syt7,,14.22280455,10.59875506
Arhgap5,Arhgap5,,14.1182944,6.401642196
Mlf2,Mlf2,,14.02458038,0.638319009
Prss56,Prss56,,13.98547934,7.286060827
Nppa,Nppa,,13.93597173,5.389193746
Aldh2,Aldh2,,13.84582565,0.462905423
Hba-a2,Hba-a2,,13.83371793,6.289306328
Tpt1,Tpt1,,13.81619103,3.522268911
Atp5a1,Atp5a1,,13.74544053,9.968504387
Chgb,Chgb,,13.64203335,6.600391634
Lcat,Pip5k1c,,13.62022028,5.05412028
Pip5k1c,Lcat,,13.615863,2.448571489
Stxbp6,Stxbp6,,13.6004989,5.225942936
Eif5a,Eif5a,,13.48992393,1.314661147
Qk,Qk,,13.4753565,3.493433206
Desi1,Desi1,,13.43671461,4.352265465
Htra1,Cadm2,,13.39878353,1.183223042
Cadm2,Htra1,,13.39684259,5.767689298
Zfp36l1,Zfp36l1,,13.3747068,3.928182751
Snx18,Snx18,,13.19154946,2.627089635
Dner,Dner,,13.1696757,7.90186452
Mef2c,Mef2c,,13.08409317,0.395140056
Lrig1,Lrig1,,13.07791842,1.239092251
Rasl11b,Rasl11b,,13.02716897,2.662502796
Ptms,Ptms,,12.94359502,4.724529333
Chl1,Chl1,,12.91172859,3.206493108
Slc35f1,Slc35f1,,12.90320498,1.241618725
Sox11,Sox11,,12.89128323,5.950204676
Sfrp5,Sfrp5,,12.89012482,13.89146103
Fam213a,Fam213a,,12.85671815,1.695752938
Add2,Add2,,12.85352224,6.160459572
Celf5,Celf5,,12.77229865,2.839968089
Cpne2,Cpne2,,12.73820994,3.954487426
Eef1a2,Eef1a2,,12.6613012,4.005673438
Rprml,Rprml,,12.63123671,5.301868637
Ywhaz,Ywhaz,,12.58268675,2.582986795
Celf3,Celf3,,12.54198828,2.969323246
Cyp2a5,Cyp2a5,,12.53094867,1.953329666
Arx,Slc2a1,,12.50299001,6.15330758
Wipf3,Ptpro,,12.50080037,3.396776556
Ptpro,Cav2,,12.49903231,0.009287536
Slc2a1,Wipf3,,12.49487874,0.815222144
Cav2,Arx,,12.49438049,6.17559369
Serpinf1,Serpinf1,,12.46743097,2.79764499
Gabra5,Gabra5,,12.45313409,3.130581197
Clip3,Clip3,,12.43044353,2.928005776
Itpr3,Itpr3,,12.42223349,1.573465184
Scg2,Scg2,,12.41448092,8.161159146
Sat1,Sat1,,12.37693688,1.575544922
Cfl1,Cfl1,,12.34890313,7.265821723
Ctsd,Ctsd,,12.30329336,5.363953846
Ubl3,Igsf3,,12.29166818,2.887419642
Igsf3,Ubl3,,12.28801586,5.753665535
Spon1,Spon1,,12.25927509,2.344732351
Meg3,Meg3,,12.22143213,5.178510977
Itga7,Itga7,,12.17577821,4.65986948
Rtn3,Rtn3,,12.15715982,4.450350209
Ywhaq,Ywhaq,,12.12296238,1.738848191
Jam2,Jam2,,12.11640271,5.453910274
Col9a2,Col9a2,,12.05764907,2.766368143
Adcy2,Adcy2,,12.04246378,4.962869915
Slc32a1,Slc32a1,,12.03584118,1.106915283
Anks1b,Anks1b,,12.02288476,3.857981484
Bin1,Bin1,,11.99279245,1.710183022
Serping1,Serping1,,11.98265965,1.287366189
Pdhb,Pdhb,,11.95940562,5.101115969
Ypel3,Ypel3,,11.92100902,2.007771099
Ywhag,Slc1a3,,11.87937272,4.898987756
Ldhb,Ywhag,,11.87480825,5.178899988
Slc1a3,Ldhb,,11.87240721,10.16639285
E030024N20Rik,E030024N20Rik,,11.84415062,0.91655802
Ncan,Ncan,,11.83686201,3.460310878
Inpp5j,Inpp5j,,11.78253915,1.6284199
Rplp1,Rplp1,,11.71837908,1.571389016
Ppp1cc,Ppp1cc,,11.67535873,5.049951053
Gabrg2,Gabrg2,,11.66254122,8.327750324
Reln,Reln,,11.65656773,8.813157149
Ghitm,Ghitm,,11.61504789,3.300302183
Alx3,Alx3,,11.59984429,8.978122149
Dnm1,Dnm1,,11.59308158,2.72300385
Snn,Snn,,11.58183922,0.708149403
Rnf187,Rnf187,,11.5689019,1.487485542
Matn4,Matn4,,11.54829863,1.103814692
Rps29,Prex1,,11.50151888,2.292894923
Prex1,Rps29,,11.49896291,4.152449197
Trim9,Trim9,,11.48781381,1.117673055
Stmn1,Stmn1,,11.43945256,1.23000321
Nptn,Nptn,,11.42976723,1.241717719
Mycn,Ctnna1,,11.42838419,6.498777511
Ctnna1,Mycn,,11.42737859,2.6568078
Calm3,Calm3,,11.41636803,1.249939489
Islr,Islr,,11.34351464,2.517459266
Ptma,Ptma,,11.32235522,1.825432665
Vwa1,Vwa1,,11.29820364,0.711226737
Mtss1l,Mtss1l,,11.29365402,2.069213545
Cdk17,Cdk17,,11.27004351,6.49468427
Mrc1,Rtn1,,11.26174692,6.607564122
Rtn1,Mrc1,,11.25839339,5.251656558
Gria3,Gria3,,11.2461049,3.599166364
Fgfr1,Fgfr1,,11.23488952,4.289566682
Ypel5,Ypel5,,11.22375888,0.969313323
Shisa3,Shisa3,,11.16014198,8.142357189
Cald1,Cald1,,11.14497777,5.43680502
Hes5,Hes5,,11.14047919,2.092851944
Plscr4,Plscr4,,11.13322914,4.099432711
Gfap,Gfap,,11.11834493,3.168586283
Pnmal2,Pnmal2,,11.06867129,0.506998131
Plat,Plat,,11.0439314,2.976506696
S100a6,S100a6,,11.02643145,1.079508378
Axl,Axl,,11.01915155,3.322927386
Gm5148,Gm5148,,11.00196513,3.410767441
Grb14,Grb14,,10.99431464,4.680668274
Baalc,Baalc,,10.98691071,9.226727805
Bcar3,Bcar3,,10.94703327,4.164987563
Slc13a3,Slc13a3,,10.9280955,4.854862094
Ppfia2,Ppfia2,,10.90348307,8.911735951
Tmsb10,Tmsb10,,10.84540282,1.692431138
Stmn3,Stmn3,,10.84085297,3.041161942
Col16a1,Col16a1,,10.82530615,0.713012764
Gnb2,Gnb2,,10.81380857,2.870105077
Vsnl1,Vsnl1,,10.80996307,5.013649625
Rcan2,Rcan2,,10.79159616,11.04534934
Hnrnpa2b1,Hnrnpa2b1,,10.78496182,1.713591308
Nap1l5,Nap1l5,,10.77631208,5.612333
Cyp2j9,Cyp2j9,,10.69796312,2.253555054
Pgbd5,Pgbd5,,10.68736881,4.246333048
Afap1l2,Afap1l2,,10.67264335,7.374513258
Tuba1c,Tuba1c,,10.66129631,4.010790644
Dlx1,Dlx1,,10.63561655,3.328927447
Zfp36l2,Zfp36l2,,10.6265162,3.537878597
Dclk2,Dclk2,,10.58104366,5.431661762
Serpina3n,Serpina3n,,10.57859597,2.645981341
Fam212b,Adk,,10.56872347,4.942621212
Adk,Fam212b,,10.56834877,6.101662115
Fbln2,Fbln2,,10.54715945,0.762559307
Dst,Dst,,10.54005052,1.505706744
Zfp385a,Zfp385a,,10.53365659,4.11096449
Fibcd1,Fibcd1,,10.44629379,9.48983987
Slc22a17,Slc22a17,,10.44437757,4.483521683
Gstm1,Tenm3,,10.41478834,0.183510317
Tenm3,Gstm1,,10.41008007,1.457425596
Wnt6,Id1,,10.40832013,2.678391251
Id1,Wnt6,,10.40779403,2.711730556
Apold1,Apold1,,10.39590048,0.757359695
Sep-09, Sep-09,,10.39052915,2.914548274
Fads1,Fads1,,10.36647324,1.618103428
Serinc3,Serinc3,,10.288788,1.878214816
Atp5g3,Atp5g3,,10.19804749,4.070143152
Cox4i1,Cox4i1,,10.18748111,5.886199683
Cmtm5,Cmtm5,,10.11543403,0.923896168
Pgam1,Pgam1,,10.06756652,5.413394037
Camkk2,Camkk2,,10.03474729,1.370827185
Ywhah,Ywhah,,10.01167262,3.560386905
Cd81,Cd81,,10.00376842,1.635269775
Rab40b,Rab40b,,9.95332664,2.548487197
Elmo1,,,9.878667285,2.42525777
Nrip3,,,9.820350758,2.080542662
Uba1,,,9.792463471,2.242959236
Mpp6,,,9.756804283,3.51209205
Sdc2,,,9.755270188,1.185793965
Mboat2,,,9.736378353,0.111831401
Map1a,,,9.698259524,9.746461921
Dmd,,,9.677401642,3.55792762
Mir703,,,9.661958705,0.815342563
Grm5,,,9.661033867,4.577357224
Prokr2,,,9.631211599,20.57022368
Rpl41,,,9.617918628,2.767525583
Pak1,,,9.617627814,9.641736162
Ctnnb1,,,9.600278786,1.452403089
Slc9a3r1,,,9.597187624,0.389007857
Caskin2,,,9.561388112,2.39978958
Dpysl5,,,9.557610258,6.353825573
Gnb1,,,9.490118222,1.311226718
Lbh,,,9.466253963,1.805063863
Fmod,,,9.423089055,2.169137688
Cd74,,,9.42243249,3.693412785
Hspa2,,,9.378812914,1.270731949
Dlg2,,,9.378796581,4.574084863
Dlx2,,,9.329504155,2.081219042
Iqsec3,,,9.274857126,8.079073593
Slc25a5,,,9.266723113,0.035871417
Pde1c,,,9.266460577,1.525864828
Gbp7,,,9.266284225,2.769777857
Cyp4v3,,,9.239716832,2.130245685
Atp6v1a,,,9.210966198,4.264942983
Anp32a,,,9.203665138,0.870126615
Lhfp,,,9.203184979,3.380831043
Ndufa4,,,9.191397537,1.407669584
Jph4,,,9.187720317,4.726238126
Ddx5,,,9.170340235,0.472479983
Cspg5,,,9.133991449,1.562813586
Mkl2,,,9.130680548,1.327245033
Cmip,,,9.087780547,1.742985157
Lamp5,,,9.076394953,5.220554073
R3hdm4,,,9.042321891,3.888617187
Cpne6,,,9.035440737,1.450505013
Epha4,,,9.008683183,4.279752814
Grin3a,,,8.924163253,4.229656083
Wdsub1,,,8.907350049,7.896795821
Bambi,,,8.904742015,4.757802117
Col5a2,,,8.896455431,2.518207468
Acaa2,,,8.884954842,0.234395135
Fam5b,,,8.871493145,4.052201912
Adipor1,,,8.83597161,1.08364892
Rap1gds1,,,8.810575568,3.335448297
Bcan,,,8.796055991,3.983436407
Rcn3,,,8.785893729,4.834042135
Ptpn4,,,8.781963394,8.466311032
Snca,,,8.777748113,4.782520841
Gpm6a,,,8.735059281,2.218833756
Nsg1,,,8.716542536,2.71088043
Ucp2,,,8.693812203,2.032979789
Cfh,,,8.691168254,2.627116574
Ly6e,,,8.632283065,0.916165865
Tgfbr1,,,8.616675292,0.979666031
Fbxl16,,,8.554394181,0.735000809
Cox5b,,,8.537488106,5.362734316
Unc80,,,8.535271686,5.864618578
Ssfa2,,,8.523597315,0.065228224
