,gene,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,lengthscale,BIC_periodic,BIC_linear,BIC_rbf,pval,q_value
85,Sema3c,-617.5957777,-621.1572016,3.561423963,0.97162793,1264.557128,1258.99647,1257.434282,0.007610771,0.091643802
86,Tipin,-252.7952168,-253.0710014,0.275784563,2.068938053,528.3847312,522.82405,527.8331601,0.457677258,1
87,Atp6v0d1,-708.1415381,-708.4813939,0.339855868,1.590453024,1439.205513,1433.64483,1438.525803,0.409686004,1
88,Gpr137b,-339.255825,-339.6569132,0.40108823,1.741543625,701.5565529,695.995873,700.7543765,0.370443439,1
89,2310010J17Rik,-157.5335411,-157.6592109,0.125669825,0.766332714,337.5611485,332.000466,337.3098087,0.616133364,1
90,Slc3a2,-614.5755587,-617.8977416,3.322182896,0.895786067,1258.038209,1252.47753,1251.393844,0.009946988,0.113606683
91,Rbmx,-533.2366945,-533.3134647,0.076770212,0.112022643,1088.869659,1083.30917,1088.716116,0.695174704,1
92,Ube2a,-514.757118,-514.7571028,-1.53E-05,0.943033125,1051.756932,1046.19625,1051.756963,1,1
93,Man1b1,-408.535399,-408.7928425,0.257443447,0.013845207,839.8284126,834.26773,839.3135245,0.473030975,1
94,Ndel1,-533.6960455,-535.3306119,1.634566353,0.914297195,1092.903966,1087.34329,1089.634818,0.070594936,0.48692514
95,Cdk5,-481.1847147,-481.1847086,-6.18E-06,9.36E-06,984.6121437,979.051462,984.6121559,1,1
96,Arf4,-633.048246,-633.0486554,0.00040944,0.77844989,1288.340039,1282.77936,1288.339219,0.977170788,1
97,Lrfn4,-366.8390733,-366.8452231,0.006149756,1.90158916,755.9331729,750.372492,755.9208731,0.911693136,1
98,Hist1h2ad,-48.17351394,-48.177831,0.004317067,0.9073518,118.5984012,113.037707,118.5897544,0.925967084,1
99,Dnajc4,-298.0836216,-298.6992554,0.615633841,2.500120093,619.6412381,614.080555,618.4099697,0.267160646,1
100,Usp33,-575.5372417,-575.6517596,0.114517902,1.39E-06,1173.546244,1167.98556,1173.31721,0.632239689,1
101,Tmem203,-232.1200978,-232.645194,0.525096195,1.338505539,487.5331147,481.972433,486.4829221,0.305462782,1
102,Mcfd2,-538.2193532,-539.0562913,0.836938068,1.855991783,1100.355311,1094.79463,1098.681433,0.195740161,0.891657402
103,Epha10,-375.8413781,-377.9310177,2.08963965,1.288504287,778.1047606,772.544079,773.9254827,0.040921099,0.335362187
104,Slc9a3r2,-511.373819,-512.4132919,1.039472882,1.795096957,1047.069312,1041.50863,1044.990365,0.149343291,0.767014632
105,Ahi1,-662.6134421,-665.102491,2.489048875,1.67222137,1352.447734,1346.88706,1347.469611,0.025670194,0.237960474
106,Ap3b2,-537.6892269,-538.0072439,0.318017022,3.676212652,1098.257212,1092.69654,1097.62118,0.425150587,1
107,Tbx15,-72.19778188,-72.19778133,-5.52E-07,0.001184971,166.6382892,161.077608,166.6382903,1,1
108,Aacs,-325.6699833,-325.6720678,0.002084493,0.006758789,673.5868623,668.026181,673.5826931,0.948518214,1
109,Trim11,-323.6629079,-323.6629054,-2.50E-06,0.054596939,669.5685377,664.007856,669.5685423,1,1
110,Snrnp70,-597.549068,-600.2471203,2.698052264,2.343025504,1222.736968,1217.17628,1217.340863,0.020181748,0.197160155
111,Dock1,-443.3774472,-444.7883645,1.410917304,1.727957858,911.8194096,906.258728,908.9976209,0.092990062,0.578617808
112,Eif4ebp2,-109.8009973,-109.8009977,3.72E-07,0.003117779,241.844722,236.28404,241.8447211,0.999311781,1
113,Trpv2,-98.91117499,-99.05654047,0.145365483,1.134072469,220.3558084,214.795127,220.0650765,0.58975249,1
114,Higd1a,-642.0649379,-643.0066504,0.941712495,2.64413155,1308.256018,1302.69533,1306.372602,0.169945385,0.826124315
115,Ngrn,-496.8293963,-496.995303,0.165906713,0.664115885,1016.233256,1010.67257,1015.901519,0.564593223,1
116,Hspa1a,-214.9988054,-215.0329436,0.034138166,0.976877454,452.3086145,446.747933,452.2403373,0.79386317,1
117,Sep-08,-436.8968267,-436.9683279,0.071501197,2.275789621,896.1793837,890.618701,896.0363799,0.705314284,1
118,Psme2,-279.3294223,-279.5818574,0.252435082,1.377527411,581.4064425,575.845763,580.9015711,0.477367995,1
119,Rps15a,-612.4452841,-612.5890234,0.143739233,0.104524131,1247.420773,1241.86009,1247.133295,0.591840938,1
120,Utrn,-566.5602798,-567.1254398,0.565160046,1.229144978,1156.493607,1150.93292,1155.363286,0.287707073,1
121,Lsm3,-278.6637674,-278.663762,-5.49E-06,0.000137905,579.7725471,574.009569,579.5702613,1,1
122,Wbp1l,-409.2721834,-409.6259835,0.353800046,2.108475135,841.4946858,835.934004,840.7870933,0.400241676,1
123,Gm10012,-796.7851637,-802.6164729,5.831309233,1.245965861,1627.46067,1621.9,1615.813054,0.000637685,0.011683557
124,Fstl5,-627.0136923,-632.6240079,5.610315585,1.259077964,1287.490741,1281.93007,1276.270111,0.00080893,0.014099233
125,Pgap1,-522.8955801,-523.8226302,0.927050077,1.861699199,1069.887987,1064.32731,1068.033887,0.173307274,0.833659044
126,Pam,-565.2571436,-565.2572523,0.000108743,0.067123499,1152.756996,1147.19632,1152.757014,0.988233699,1
127,Arpc1a,-573.5400936,-573.7644816,0.224388001,1.233946671,1169.771696,1164.21101,1169.322914,0.502916785,1
128,Trmt11,-278.8141413,-280.039269,1.2251277,1.756243218,582.3212628,576.760581,579.8710091,0.117505748,0.666673503
129,Gtf2h4,-238.4410371,-238.4444861,0.003448997,0.000968947,499.1316958,493.571015,499.1248007,0.933808472,1
130,Mageh1,-566.7524674,-566.752497,2.96E-05,0.078938074,1155.747721,1150.18704,1155.747661,0.993861014,1
131,Cdk14,-729.3632741,-737.8375224,8.474248275,0.806958746,1488.782243,1483.22156,1480.969275,3.84E-05,0.001019108
132,Zmiz1,-634.1048979,-634.7947452,0.689847227,0.766136058,1291.832216,1286.27154,1290.452522,0.2401532,0.980121754
133,Ndufc1,-643.5958644,-643.6000299,0.004165469,0.933927632,1309.442783,1303.88212,1309.434455,0.927274899,1
134,Ttyh2,-276.7127237,-276.7127217,-1.99E-06,0.066684101,575.66817,570.107488,575.6681739,1,1
135,Tpk1,-68.67674167,-68.67674136,-3.08E-07,0.000111501,159.596208,154.035528,159.5962099,1,1
136,Hnrpll,-447.4725529,-448.9817731,1.509220244,1.50692626,920.2062751,914.645648,917.1878323,0.082322595,0.537030427
137,Pde12,-279.8812347,-280.6675927,0.786358019,5.244779259,583.5779126,578.017229,582.0051959,0.209813017,0.923240767
138,Cops8,-549.2368413,-549.236838,-3.26E-06,0.000394477,1120.716402,1115.15572,1120.716409,1,1
139,Arhgap5,-606.3962698,-620.5145642,14.1182944,2.267802963,1263.271847,1257.71117,1235.035266,1.07E-07,4.72E-06
140,Hey1,-440.7980028,-441.2170006,0.418997761,1.534833694,904.6768409,899.116145,903.8387321,0.359970682,1
141,Cox14,-624.4461563,-625.1262094,0.680053179,1.273002678,1272.495107,1266.93446,1271.135039,0.24351905,0.985684979
142,Pak6,-442.4448926,-443.224688,0.779795436,2.084280255,908.6921052,903.131424,907.1325117,0.211725135,0.92701169
143,B230217C12Rik,-358.3263244,-358.3289197,0.002595356,0.330911889,738.900567,733.339885,738.8953753,0.942564826,1
144,2410004B18Rik,-414.5748928,-414.5748501,-4.27E-05,0.257118871,851.3924265,845.831745,851.3925121,1,1
145,1600012H06Rik,-391.3728456,-391.4226655,0.049819913,0.92549584,805.0880597,799.527378,804.9884177,0.752262286,1
146,Pdap1,-616.2080537,-616.3294659,0.121412151,1.922787088,1254.901656,1249.34097,1254.658834,0.622173656,1
147,Gpatch2l,-290.1452721,-290.1452727,5.69E-07,2.83678331,602.5332721,596.97259,602.5332707,0.99914884,1
148,Rasgrp3,-218.1499305,-219.4110825,1.261152038,1.36752244,461.0648907,455.50421,458.5425875,0.11224647,0.647011329
149,Hnrnpul2,-678.0587706,-678.1742055,0.115434907,0.723849077,1378.591138,1373.03046,1378.360268,0.630879623,1
150,Adamts15,-202.5077161,-202.5098823,0.002166156,0.546705351,427.6198547,421.701809,427.2581587,0.947520894,1
151,Apc,-954.8587092,-1038.863654,84.0049448,1.706326398,2099.972711,2094.41219,1931.960145,0,0
152,Rab33b,-455.2520407,-455.4003247,0.148284038,0.814813064,933.0433922,927.482711,932.7468079,0.586041971,1
153,Btbd3,-762.4984824,-769.5589003,7.060417853,1.432886995,1561.360527,1555.79985,1547.239691,0.000171434,0.003802004
154,B4galt5,-455.7623489,-455.7623496,6.43E-07,0.729317941,933.7674187,928.206738,933.7674243,0.999095184,1
155,Slc2a1,-682.2702979,-694.7651767,12.49487874,2.001772255,1411.773051,1406.21235,1386.783322,5.76E-07,2.26E-05
156,Rd3,-91.8140114,-92.22446269,0.410451288,1.563120332,206.6916532,201.13097,205.8707493,0.364916406,1
157,Coq6,-254.6449859,-256.4944608,1.849474876,1.473021086,535.2316447,529.670964,531.5326983,0.054446729,0.409268329
158,Vdac1,-786.4996811,-787.6309133,1.131232143,0.820282242,1597.504553,1591.94387,1595.242089,0.132543,0.717731937
159,Plec,-374.6998511,-375.6916588,0.99180776,0.811665414,773.6260431,768.065362,771.6424287,0.159010037,0.792065081
160,Gclm,-368.6327249,-368.6327429,1.81E-05,0.041565442,759.5081722,753.947491,759.5081763,0.995199442,1
161,Tuba1a,-1085.191687,-1092.965534,7.773846899,9.04929045,2208.173795,2202.61308,2192.626101,8.04E-05,0.001959676
162,Brd4,-550.0536244,-550.5271444,0.473519961,0.6787492,1123.297006,1117.73632,1122.349975,0.330473906,1
163,Pyroxd2,-113.7315128,-113.9170519,0.185539058,2.247228161,250.0768302,244.516148,249.7057521,0.542417188,1
164,Itsn1,-588.296182,-588.3983571,0.102175081,0.642897825,1199.039441,1193.47876,1198.835091,0.651232198,1
165,Ctsb,-843.9046073,-865.5878256,21.68321834,1.869303794,1753.419035,1747.85841,1710.051941,4.54E-11,3.45E-09
166,Srcin1,-443.9751642,-443.9998798,0.024715569,0.000135446,910.2424878,904.681806,910.1930549,0.824056109,1
167,Tspan31,-489.4793724,-489.6485158,0.169143458,0.202019332,1001.539761,995.979078,1001.201471,0.560819719,1
168,Paics,-467.7965212,-469.3421267,1.545605512,1.210776646,960.9268887,955.366206,957.8357689,0.078716205,0.522395749
169,Mark1,-507.170273,-507.2077931,0.037520087,1.151663067,1036.658313,1031.09768,1036.583273,0.784134869,1
170,Aip,-411.6300337,-411.7820787,0.152044926,0.628263472,845.8068834,840.246202,845.5027939,0.581329739,1
171,Nudt3,-658.4361697,-659.030447,0.594277283,1.48400813,1340.303619,1334.74294,1339.115066,0.275621311,1
172,Ccnh,-608.4221432,-608.4221397,-3.51E-06,0.001758991,1239.087006,1233.52632,1239.087013,1,1
173,Ube2ql1,-809.7863623,-847.615577,37.82921471,1.847909321,1708.723249,1703.16257,1641.815451,0,0
174,Auts2,-406.0989265,-409.0439379,2.945011411,2.428941677,840.3306015,834.76992,834.4405795,0.015226903,0.160124949
175,Cd99l2,-434.0785696,-434.1118462,0.033276533,1.26E-06,890.4666243,884.905736,890.3998657,0.796423262,1
176,Tcerg1,-526.1412316,-526.1487461,0.007514477,0.655231364,1074.540225,1068.97954,1074.52519,0.902429687,1
177,Fzr1,-350.2735921,-351.5408975,1.267305341,0.925570046,725.32452,719.76384,722.7899107,0.111374354,0.646099488
178,Chmp5,-633.4376015,-633.43769,8.84E-05,0.129498176,1289.117898,1283.55722,1289.11793,0.989391148,1
179,Mfsd2a,-386.6118503,-394.7977431,8.185892744,1.181738311,811.8382172,806.277532,795.4664271,5.21E-05,0.001333579
180,Naca,-530.9023082,-531.3442124,0.441904239,0.90025729,1084.931338,1079.37048,1084.047343,0.347160685,1
181,Tada1,-480.8340664,-481.8735937,1.039527301,0.682162415,985.9899138,980.429232,983.9108593,0.149332642,0.767014632
182,Slu7,-463.1270636,-463.1270172,-4.64E-05,1.352098471,948.4967597,942.936078,948.4968537,1,1
183,Tbp,-337.2840303,-337.3175476,0.033517278,0.513624329,696.8778222,691.317141,696.8107871,0.795704432,1
184,Phc3,-438.7216081,-439.7005398,0.978931735,1.208745784,901.643824,896.083142,899.6859427,0.161742001,0.800954917
185,Slc38a6,-98.45121039,-98.4512115,1.11E-06,0.578119838,219.1451498,213.584467,219.1451473,0.998811179,1
186,Csnk1g3,-606.5401242,-610.4706826,3.930558366,2.132929963,1243.184044,1237.62335,1235.322975,0.005050919,0.06606655
187,Mar-05,-600.1938545,-600.1938507,-3.74E-06,0.050547723,1222.630445,1217.06974,1222.630436,1,1
188,Gm13889,-722.9393597,-752.7465023,29.80714261,1.687004235,1527.735731,1522.17505,1468.121446,1.15E-14,1.36E-12
189,Htr3a,-191.6162195,-191.9690226,0.352803108,1.400452533,406.1807716,400.62009,405.4751655,0.400906312,1
190,Shisa3,-642.2724512,-653.4325932,11.16014198,0.898684262,1329.107944,1323.54724,1306.787629,2.31E-06,7.83E-05
191,Rab18,-651.9271269,-651.9271248,-2.05E-06,1.636207379,1326.096976,1320.53629,1326.09698,1,1
192,Pld1,-195.6848273,-195.6924616,0.00763426,0.656399192,413.6276501,408.066972,413.6123811,0.901659031,1
193,Zfp91,-624.3787599,-624.3787578,-2.05E-06,0.359109471,1271.000243,1265.43956,1271.000246,1,1
194,Plcl1,-392.4161828,-392.4416661,0.025483242,0.001932982,807.1260587,801.565376,807.0750921,0.821389973,1
195,Bgn,-476.9801448,-506.1341302,29.15398533,1.937861452,1034.510988,1028.95032,976.2030161,2.24E-14,2.52E-12
196,Col9a1,-62.97489594,-65.23413256,2.259236618,3.692916382,152.6111598,147.050479,148.1925184,0.033530741,0.289166152
197,Neto2,-502.9224851,-503.4048728,0.482387621,3.666316797,1029.052461,1023.49182,1028.087697,0.325986684,1
198,Ppp3cc,-452.1439363,-454.1984054,2.054469162,1.637437065,930.639643,925.07887,926.5305991,0.042657133,0.345230028
199,Mat2b,-578.9612841,-578.9928977,0.031613595,1.835475476,1180.228524,1174.66784,1180.165295,0.80146608,1
200,Tgfbr2,-328.4575802,-328.6074254,0.149845233,1.816568643,679.4575787,673.896896,679.1578869,0.584076536,1
201,Daam1,-416.994003,-417.1938658,0.199862847,0.714282431,856.6304577,851.06978,856.2307325,0.527230954,1
202,Rps4x,-696.4556248,-703.2426014,6.786976616,0.642912315,1419.883435,1414.32277,1415.153976,0.000229346,0.004938163
203,Anapc4,-436.1103342,-436.1104114,7.72E-05,0.000594754,894.4635492,888.902868,894.4633949,0.990085917,1
204,Eprs,-578.5758377,-579.3625279,0.786690133,0.641495025,1180.967782,1175.4071,1179.394402,0.209716795,0.923240767
205,Pcsk6,-348.428408,-351.3898036,2.96139556,1.179563752,725.0225059,719.461653,719.0995425,0.014946263,0.157844013
206,Ptprd,-747.2829752,-752.615247,5.33227184,1.041883651,1527.473217,1521.91254,1516.808677,0.001092088,0.017930756
207,Psmb10,-344.9631526,-345.4471558,0.48400313,1.007091077,713.1371944,707.576358,712.1690317,0.325177916,1
208,Fancc,-184.7840766,-184.7840859,9.36E-06,0.000115732,391.8108794,386.250196,391.8108797,0.996547834,1
209,Acbd5,-581.024294,-581.2432522,0.218958241,1.857563464,1184.729197,1179.16859,1184.291315,0.508129799,1
210,1200011I18Rik,-359.513506,-359.9027844,0.389278424,3.463122296,742.0482779,736.487597,741.2697385,0.377582871,1
211,Syt4,-588.308731,-588.3455512,0.036820261,0.594377139,1198.93381,1193.37317,1198.860189,0.78610811,1
212,Rbm42,-492.4469614,-492.5298355,0.08287407,2.24E-06,1007.302399,1001.74172,1007.136649,0.683918551,1
213,Pygb,-666.8073514,-668.7863381,1.978986706,1.277297778,1359.815403,1354.25473,1355.857429,0.046649834,0.36811996
214,Eomes,-617.3913972,-635.1943111,17.80291392,1.255965954,1292.631349,1287.07067,1257.025521,2.42E-09,1.44E-07
215,Aldh7a1,-467.5619397,-472.9329122,5.370972549,2.192983883,968.1085561,962.547867,957.3666059,0.001047342,0.017347909
216,Mypop,-433.0974541,-433.4885918,0.391137768,1.265662175,889.2199644,883.659281,888.4376347,0.376446102,1
217,Aco2,-752.9436558,-755.2054438,2.261788013,1.470000818,1532.653614,1527.09293,1528.130038,0.033430886,0.288640051
218,Nr2f1,-575.7680197,-579.399729,3.63170923,0.897626884,1181.042318,1175.48164,1173.778766,0.007037321,0.086706099
219,Cdk17,-665.9715003,-677.2415438,11.27004351,1.132400861,1376.725702,1371.16502,1354.185727,2.06E-06,7.08E-05
220,Steap2,-452.5681939,-453.1402056,0.572011735,0.050731389,928.5231386,922.962457,927.3791143,0.284803751,1
221,Car10,-438.7360735,-443.5192241,4.783150636,2.243853874,909.2811752,903.720493,899.7148735,0.001981817,0.029506828
222,Lamtor1,-561.0043741,-561.0043724,-1.71E-06,0.00069512,1144.251471,1138.69079,1144.251475,1,1
223,Vps26a,-493.3166056,-493.383578,0.066972425,2.190173023,1009.009694,1003.44901,1008.875938,0.714376442,1
224,Sertad4,-460.1860547,-461.3246349,1.13858019,1.175762362,944.8919964,939.331511,942.6148359,0.131292061,0.714080798
225,Atg9a,-480.7062044,-480.8629886,0.156784186,0.554141039,983.9687083,978.408026,983.6551353,0.5754987,1
226,Rpl10a,-628.13139,-630.5450597,2.413669776,0.706838167,1283.332846,1277.77216,1278.505507,0.028011824,0.253797375
