,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,lengthscale,BIC,pval,q value
Fyco1,-534.7833016,-537.1049141,2.321612449,0.16957654,,0.127587708,1
Cox5b,-715.6676298,-715.789762,0.122132256,2.551269209,,0.726733294,1
Rnf181,-496.7180064,-496.8774065,0.159400095,2.615308007,,0.689709436,1
Cyfip2,-710.9668933,-710.9668873,-6.02E-06,0.226115487,,1,1
Sptssa,-518.2313155,-518.2313119,-3.52E-06,0.013704359,,1,1
Pmepa1,-695.8398018,-698.3365664,2.496764563,0.244376154,,0.114080449,1
Pde4dip,-611.2484307,-612.3397111,1.091280387,3.708779951,,0.296187691,1
Rhbdd3,-268.8973511,-268.9300115,0.032660345,0.012358251,,0.856585999,1
Oxct1,-819.9286337,-819.9286289,-4.77E-06,3.303306157,,1,1
Huwe1,-634.5863435,-634.8189338,0.232590288,1.282796177,,0.629609785,1
Tcaim,-250.971553,-251.2861616,0.314608511,1.640099774,,0.574865891,1
Med13,-613.2325569,-613.2325561,-7.73E-07,0.005496198,,1,1
Nlk,-541.5047383,-541.5915273,0.086788935,1.006832646,,0.768299754,1
Atm,-321.6576791,-321.6598887,0.002209589,0.058158091,,0.962508235,1
Sptan1,-781.7512895,-783.6124986,1.861209124,2.654084732,,0.172485315,1
Zcchc11,-425.8865536,-427.9447121,2.058158501,1.218303062,,0.151393032,1
Etv3,-371.2318184,-371.7654965,0.533678067,0.552112674,,0.465064615,1
Tspan2,-547.0994113,-549.4018589,2.302447576,0.005589603,,0.129170312,1
Fam160a2,-433.3197903,-433.3799911,0.060200803,0.000938345,,0.806178844,1
Zfyve20,-409.88281,-409.8828077,-2.36E-06,0.721598859,,1,1
Ctr9,-393.6710705,-393.7967108,0.125640286,0.030947097,,0.722995873,1
Cers5,-484.0779858,-485.8771365,1.799150727,1.141364234,,0.179815202,1
Scly,-270.4276515,-270.4276502,-1.31E-06,0.000212948,,1,1
Fndc4,-542.3519736,-542.5652972,0.213323561,0.796825742,,0.64417481,1
Kif1b,-755.1170015,-755.1169959,-5.58E-06,0.432461103,,1,1
Polr2l,-506.0846651,-506.0847212,5.60E-05,0.000492167,,0.994026796,1
Vcpip1,-439.4313034,-440.093852,0.662548609,1.840111251,,0.415661628,1
Pcp4,-1097.693815,-1102.358938,4.665122487,33.25591599,,0.030781228,1
Gnb2,-700.9009073,-700.9010093,0.000102002,0.419294743,,0.991941825,1
Rapgef3,-368.3280012,-368.3281677,0.000166552,0.286379366,,0.989703184,1
Sema3c,-621.0755778,-621.1572016,0.081623796,0.114653656,,0.775108835,1
Tipin,-253.0710039,-253.0710023,-1.60E-06,0.023561208,,1,1
Atp6v0d1,-707.4510607,-708.4813935,1.030332754,2.367285501,,0.310080526,1
Gpr137b,-339.029801,-339.6569132,0.627112159,0.291576801,,0.428416576,1
2310010J17Rik,-157.652412,-157.659211,0.006798972,0.08310432,,0.934284202,1
Slc3a2,-617.5985742,-617.8977414,0.299167277,1.388481645,,0.584404935,1
Rbmx,-533.2735561,-533.3134642,0.039908123,0.879013811,,0.841660328,1
Ube2a,-514.757106,-514.7571028,-3.21E-06,7.45E-05,,1,1
Man1b1,-408.5353989,-408.7928425,0.257443557,0.044028703,,0.61188193,1
Ndel1,-535.0411655,-535.3306126,0.289447069,0.020304091,,0.59057508,1
Cdk5,-480.5621868,-481.1847093,0.622522493,0.813007506,,0.430111454,1
Arf4,-633.0486563,-633.0486584,2.10E-06,0.001063153,,0.998842854,1
Lrfn4,-366.8452247,-366.8452234,-1.22E-06,0.009464859,,1,1
Hist1h2ad,-48.17868157,-48.17783088,-0.000850695,0.454154689,,1,1
Dnajc4,-298.6639942,-298.6992555,0.035261284,0.571850165,,0.851049207,1
Usp33,-575.5372421,-575.6519234,0.114681396,0.07215412,,0.734876111,1
Tmem203,-232.6451951,-232.6451942,-8.81E-07,0.014602108,,1,1
Mcfd2,-539.0563037,-539.0562919,-1.19E-05,2.19E-05,,1,1
Epha10,-377.9275702,-377.9310169,0.003446742,0.008090181,,0.953183923,1
Slc9a3r2,-512.0198747,-512.4132916,0.393416877,0.203107934,,0.530508792,1
Ahi1,-665.102497,-665.1025014,4.34E-06,0.001400003,,0.998337494,1
Ap3b2,-537.7883826,-538.007249,0.21886637,3.052790607,,0.639905048,1
Tbx15,-72.16855234,-72.19778163,0.029229285,0.785699372,,0.864250702,1
Aacs,-324.7782728,-325.6720794,0.893806598,1.439888094,,0.344447836,1
Trim11,-323.6261918,-323.6629051,0.036713265,2.312456318,,0.848050012,1
Snrnp70,-595.855733,-600.2471196,4.391386574,1.52630065,,0.036120926,1
Dock1,-444.5908116,-444.7883402,0.197528627,0.965723573,,0.656723106,1
Eif4ebp2,-109.8009973,-109.8009977,4.44E-07,0.005065754,,0.999468272,1
Trpv2,-99.03607989,-99.05654049,0.020460599,1.038621803,,0.886258157,1
Higd1a,-643.006655,-643.0066456,-9.47E-06,0.127244983,,1,1
Ngrn,-495.1890767,-496.9952665,1.806189753,1.574645293,,0.178965982,1
Hspa1a,-215.0328578,-215.0329441,8.63E-05,0.110287447,,0.992586452,1
Sep-08,-436.9360311,-436.9683278,0.032296712,0.758932137,,0.857377998,1
Psme2,-279.5818579,-279.5818572,-6.39E-07,0.00427218,,1,1
Rps15a,-612.5889356,-612.5890232,8.76E-05,0.354258535,,0.992533974,1
Utrn,-567.1254436,-567.12544,-3.59E-06,0.006401177,,1,1
Lsm3,-278.2639728,-278.6637612,0.399788441,2.744864529,,0.527198535,1
Wbp1l,-408.8814818,-409.6259812,0.744499396,1.283204961,,0.388223362,1
Gm10012,-797.6023385,-802.6089792,5.006640717,8.468955948,,0.025250259,1
Fstl5,-632.6240084,-632.6240181,9.70E-06,0.005349044,,0.99751468,1
Pgap1,-523.8226323,-523.8226302,-2.07E-06,0.042405891,,1,1
Pam,-564.1743078,-565.2571648,1.082857013,3.200416605,,0.298059301,1
Arpc1a,-573.3371044,-573.7644823,0.427377859,0.000490168,,0.513278406,1
Trmt11,-280.0318619,-280.0392683,0.007406363,0.017254809,,0.93141854,1
Gtf2h4,-238.4153451,-238.4444843,0.029139258,0.703706254,,0.864457894,1
Mageh1,-564.5661069,-566.7524972,2.186390248,1.354149799,,0.13923529,1
Cdk14,-730.5610829,-733.2697586,2.708675769,0.680872409,,0.099803808,1
Zmiz1,-634.5830083,-634.7947447,0.211736375,2.38E-05,,0.645409842,1
Ndufc1,-642.9823571,-643.600028,0.617670847,0.793104041,,0.431914133,1
Ttyh2,-275.8496904,-276.7127212,0.86303081,3.530866076,,0.352891929,1
Tpk1,-68.6767425,-68.67674156,-9.38E-07,0.001585871,,1,1
Hnrpll,-448.7420715,-448.9817723,0.239700773,2.219174691,,0.624422316,1
Pde12,-278.4621987,-280.6675912,2.205392507,6.848363285,,0.137528885,1
Cops8,-549.0580226,-549.2368364,0.178813767,0.687195135,,0.672394659,1
Arhgap5,-620.5145712,-620.5145602,-1.10E-05,1.31654751,,1,1
Hey1,-440.2301411,-441.217085,0.986943911,0.649711927,,0.320490458,1
Cox14,-625.0531664,-625.1261907,0.07302435,0.005630874,,0.786983177,1
Pak6,-442.3144548,-443.2246934,0.910238613,0.68288045,,0.340051116,1
B230217C12Rik,-358.2704049,-358.3289201,0.058515172,0.921037313,,0.808858352,1
2410004B18Rik,-414.574886,-414.57485,-3.60E-05,0.749391222,,1,1
1600012H06Rik,-391.0248391,-391.4226649,0.397825707,1.660206273,,0.528214294,1
Pdap1,-616.3294792,-616.3294647,-1.45E-05,1.59E-05,,1,1
Gpatch2l,-290.1452726,-290.1452726,-6.46E-08,1.987205583,,1,1
Rasgrp3,-219.2417619,-219.411082,0.16932012,0.174748508,,0.680716747,1
Hnrnpul2,-678.1742077,-678.1742057,-1.94E-06,0.345784948,,1,1
Adamts15,-202.2390285,-202.5098821,0.270853662,1.500914427,,0.602759703,1
Apc,-1009.747053,-1034.439916,24.69286292,0.163416086,,6.72E-07,0.002497526
Rab33b,-455.1312221,-455.4003314,0.26910938,4.700891686,,0.603929834,1
Btbd3,-769.5589049,-769.5589001,-4.73E-06,0.200355976,,1,1
B4galt5,-455.7623509,-455.7623573,6.47E-06,0.000771434,,0.99797099,1
Slc2a1,-693.67543,-694.7651535,1.089723498,0.003382748,,0.296532481,1
Rd3,-91.93284028,-92.22446276,0.291622483,4.020169793,,0.589182676,1
Coq6,-256.1430371,-256.494459,0.351421888,0.65777416,,0.553309335,1
Vdac1,-787.6309151,-787.6309132,-1.84E-06,0.682669129,,1,1
Plec,-375.6916422,-375.6916583,1.61E-05,0.065759243,,0.996797776,1
Gclm,-368.6327307,-368.6327231,-7.60E-06,0.417057481,,1,1
Tuba1a,-1087.056217,-1092.965516,5.909298756,76.06188808,,0.015061166,1
Brd4,-547.8574039,-550.527142,2.669738117,0.976711499,,0.102272851,1
Pyroxd2,-113.9170524,-113.9170516,-8.03E-07,0.000221588,,1,1
Itsn1,-587.8289853,-588.398357,0.569371663,1.083808699,,0.450508709,1
Ctsb,-860.7004894,-865.5881801,4.887690714,8.578251409,,0.027048843,1
Srcin1,-443.9751642,-443.9998796,0.024715361,1.19E-06,,0.875078402,1
Tspan31,-489.4793313,-489.6485158,0.169184497,0.001871353,,0.68083759,1
Paics,-469.3280661,-469.3420811,0.014015038,0.818353725,,0.905762512,1
Mark1,-502.5560968,-510.9304956,8.374398801,0.954281255,,0.003805434,1
Aip,-411.7013492,-411.7820796,0.080730402,0.007726288,,0.776310022,1
Nudt3,-659.0304528,-659.0304462,-6.68E-06,0.00766886,,1,1
Ccnh,-608.4221405,-608.4221519,1.15E-05,0.000518284,,0.997298847,1
Ube2ql1,-843.2398438,-843.2402613,0.000417443,0.475622865,,0.983699221,1
Auts2,-409.0439397,-409.0439384,-1.27E-06,0.041722966,,1,1
Cd99l2,-433.4398167,-434.1118643,0.672047551,1.862134918,,0.412338647,1
Tcerg1,-525.2567575,-526.1487458,0.89198826,1.300883907,,0.344939077,1
Fzr1,-349.9500313,-351.5408987,1.590867414,0.912347143,,0.207202248,1
Chmp5,-633.4374464,-633.4375851,0.000138735,0.430202275,,0.990602254,1
Mfsd2a,-394.5740219,-394.797748,0.223726124,0.177735844,,0.636215348,1
Naca,-531.1233739,-531.3442129,0.220838997,5.629025904,,0.638401387,1
Tada1,-480.3123037,-481.8735936,1.56128989,1.607056981,,0.211476455,1
Slu7,-462.9637321,-463.1270138,0.163281641,0.014953467,,0.686152987,1
Tbp,-337.2955472,-337.3175481,0.022000856,0.665835938,,0.882084822,1
Phc3,-439.7005415,-439.7005488,7.31E-06,0.002236599,,0.997842474,1
Slc38a6,-98.32694164,-98.45121051,0.124268878,5.460428764,,0.724449888,1
Csnk1g3,-610.2359423,-610.4706537,0.234711326,1.447942617,,0.628052244,1
Mar-05,-600.1368563,-600.1938593,0.057002948,2.593080134,,0.811297192,1
Gm13889,-751.8273537,-752.7465025,0.919148749,0.476474104,,0.337698582,1
Htr3a,-191.969024,-191.9690224,-1.54E-06,0.000674759,,1,1
Shisa3,-652.3752572,-653.4325944,1.057337227,0.168779634,,0.303823288,1
Rab18,-651.5036228,-651.9271247,0.423501938,2.264246057,,0.515194798,1
Pld1,-195.6915357,-195.6924615,0.000925782,0.493086323,,0.975726779,1
Zfp91,-624.3787719,-624.3787569,-1.49E-05,0.000356055,,1,1
Plcl1,-392.4143391,-392.4416659,0.02732683,0.356082989,,0.868701336,1
Bgn,-505.2187386,-506.134129,0.915390373,0.582450194,,0.338688228,1
Col9a1,-65.18416537,-65.18421681,5.14E-05,0.475072925,,0.994277321,1
Neto2,-503.3899196,-503.4048627,0.014943121,0.075354513,,0.902707316,1
Ppp3cc,-454.1657147,-454.1984074,0.032692707,0.000163711,,0.856515734,1
Mat2b,-578.992625,-578.9928986,0.000273583,0.230455682,,0.986803326,1
Tgfbr2,-328.531894,-328.6074262,0.075532235,1.313977119,,0.783445862,1
Daam1,-417.1938722,-417.1938674,-4.80E-06,0.000546424,,1,1
Rps4x,-698.8203615,-698.8203544,-7.07E-06,1.397630959,,1,1
Anapc4,-436.1103316,-436.1104114,7.98E-05,0.000218066,,0.992872435,1
Eprs,-579.3625325,-579.3625417,9.24E-06,0.00251634,,0.997574618,1
Pcsk6,-350.7183896,-351.3898043,0.671414778,3.333494037,,0.412558785,1
Ptprd,-752.049577,-752.6152479,0.565670928,1.35937304,,0.451984321,1
Psmb10,-345.4471581,-345.4471565,-1.52E-06,0.00074729,,1,1
Fancc,-184.7840795,-184.7840757,-3.82E-06,0.102566822,,1,1
Acbd5,-580.9162718,-581.2432368,0.326965027,0.193757343,,0.567451679,1
1200011I18Rik,-359.9028562,-359.9027767,-7.94E-05,0.326408972,,1,1
Syt4,-587.1601548,-588.3455443,1.185389499,0.844464107,,0.276261525,1
Rbm42,-491.7741079,-492.5298394,0.755731495,4.578794978,,0.38466765,1
Pygb,-668.7863612,-668.7863382,-2.30E-05,0.608449762,,1,1
Eomes,-635.1943168,-635.1943111,-5.73E-06,0.012917813,,1,1
Aldh7a1,-472.926847,-472.9329123,0.006065246,0.083738853,,0.937923755,1
Mypop,-433.4885951,-433.4886183,2.31E-05,0.00212198,,0.996162172,1
Aco2,-755.2054522,-755.2054452,-7.03E-06,1.386588891,,1,1
Nr2f1,-579.3198533,-579.3997215,0.079868239,0.664250986,,0.777476049,1
Cdk17,-677.2414944,-677.2414951,7.56E-07,0.062582332,,0.999306365,1
Steap2,-452.5681939,-453.1402056,0.572011733,0.011402444,,0.449460613,1
Car10,-443.1183693,-443.5192237,0.400854411,0.55584494,,0.526648333,1
Lamtor1,-560.9280097,-561.0043724,0.076362758,2.856684461,,0.782288378,1
Vps26a,-493.0289709,-493.383486,0.354515095,0.979548287,,0.551568305,1
Sertad4,-460.634336,-461.3246303,0.690294345,3.374127618,,0.406064281,1
Atg9a,-480.8614223,-480.8629879,0.001565683,1.411666921,,0.968436974,1
Rpl10a,-630.4504455,-630.5450613,0.094615754,0.07951545,,0.758389202,1
B3galtl,-410.8759213,-410.9061266,0.030205283,1.123921849,,0.862025261,1
Cand2,-414.9772263,-414.9779827,0.000756365,0.228486527,,0.978059279,1
Tmx3,-530.2274873,-530.4649287,0.237441469,0.003086645,,0.626060159,1
Ank2,-775.4475686,-780.307592,4.860023385,3.545691734,,0.027485964,1
Cul1,-581.8827548,-581.882745,-9.87E-06,0.097076549,,1,1
Syt13,-453.0041095,-453.0078632,0.003753761,1.223089372,,0.951145821,1
Tiam2,-701.3462497,-701.3463665,0.00011681,0.000667514,,0.991376752,1
Frmd3,-393.5588161,-394.1269456,0.568129547,1.092850229,,0.451003143,1
Clk4,-515.621749,-515.6273006,0.005551636,1.510424132,,0.940605141,1
Dopey2,-373.9814205,-374.0537238,0.072303281,0.876669311,,0.788012259,1
Gpr37l1,-784.4393642,-784.4393579,-6.33E-06,0.009871838,,1,1
Adnp,-609.2142572,-609.2817787,0.067521476,0.675958832,,0.794980291,1
Cdca7l,-144.1214489,-144.1868954,0.065446503,1.136922033,,0.79808586,1
Rwdd4a,-418.3250856,-418.4905935,0.165507831,0.019093032,,0.684135395,1
Cuedc2,-572.0464613,-572.0464586,-2.78E-06,0.000576871,,1,1
Kptn,-290.4996795,-290.617345,0.117665458,0.107524885,,0.731580413,1
Hspe1,-637.4242967,-637.5060387,0.08174201,6.63E-12,,0.774950428,1
Pitrm1,-355.0418345,-355.0440858,0.002251306,0.00971315,,0.962156233,1
Dlx6as1,-592.0918905,-592.0918909,4.61E-07,0.00049721,,0.999458317,1
Arhgap32,-559.5111234,-560.7690364,1.257913047,0.168563106,,0.262046492,1
Scrib,-521.0659119,-522.8791863,1.813274345,0.005964798,,0.17811594,1
Arap2,-630.0680979,-630.3107163,0.242618449,1.482431906,,0.622321296,1
Pcdhb7,-254.6212579,-254.8129015,0.191643609,0.777073714,,0.661552162,1
Cox4i1,-905.8956219,-911.3535843,5.457962436,29.21343876,,0.019479349,1
Cnn3,-700.6527731,-702.7003291,2.047555962,0.53114536,,0.152450749,1
Ryr3,-320.393891,-320.3938986,7.61E-06,0.021454013,,0.997799158,1
Ppp1r36,-96.23115311,-96.27216684,0.041013731,0.007029084,,0.83951142,1
Xrcc6bp1,-183.2013011,-185.7252218,2.523920705,2.536909058,,0.112131479,1
Ccdc85a,-436.6890778,-436.8388882,0.14981043,1.750358483,,0.698716584,1
Dhps,-249.5152665,-249.5152651,-1.38E-06,0.000181892,,1,1
Cd24a,-506.8373266,-509.5994504,2.762123807,0.159509829,,0.096520025,1
Wdr1,-674.2503554,-674.6911341,0.440778696,1.73E-12,,0.506746851,1
Copa,-610.5990343,-610.8274891,0.228454791,2.283730884,,0.632671952,1
Slitrk5,-557.2905212,-557.2905473,2.60E-05,0.002947214,,0.995927896,1
Map2k2,-512.8037269,-512.9942092,0.190482327,0.004612687,,0.662515483,1
Itgb1,-566.4382169,-566.9806918,0.542474935,1.03E-05,,0.461408839,1
Pikfyve,-472.6068007,-473.2311662,0.624365557,1.162714584,,0.429429629,1
Txndc15,-543.3986352,-543.3986312,-3.98E-06,0.125465604,,1,1
Myt1l,-664.5184578,-664.5184297,-2.81E-05,0.413299288,,1,1
Vat1l,-394.218521,-395.7369525,1.51843149,1.122076893,,0.21785701,1
Shprh,-387.3167894,-387.4722682,0.155478809,0.867997134,,0.693353648,1
Arhgdig,-473.295742,-473.4107248,0.114982811,0.001547848,,0.734541062,1
BC002163,-681.3536434,-681.3536443,8.57E-07,0.62806853,,0.999261356,1
Acsl4,-546.7347729,-546.8665666,0.131793644,1.01E-05,,0.716579528,1
Rgs12,-527.7898006,-527.9588612,0.169060598,0.001304676,,0.680948037,1
Man2b1,-394.6628649,-395.1876539,0.524788998,0.771115118,,0.46880595,1
Pex13,-403.9968971,-404.0017991,0.00490197,0.045689652,,0.944182462,1
Prune2,-730.454538,-731.3379265,0.883388507,1.140366666,,0.347275271,1
Rmnd5b,-328.4456255,-328.4456244,-1.09E-06,0.210828238,,1,1
Rad9a,-339.9919979,-341.5614911,1.569493242,1.096629424,,0.210280623,1
Lmnb2,-287.8696312,-287.8817495,0.012118223,0.814381975,,0.912343709,1
Sfrp1,-288.4687287,-288.6985191,0.229790423,0.99074197,,0.63167927,1
Gemin5,-229.9513611,-229.9513592,-1.93E-06,0.015766909,,1,1
Laptm4a,-862.3497171,-862.3497128,-4.28E-06,7.359696411,,1,1
Phka2,-228.0999508,-228.0999517,8.66E-07,0.000153155,,0.999257303,1
Slc39a1,-507.2772878,-507.3869193,0.109631479,0.163093266,,0.740564082,1
Birc2,-371.7257494,-371.725747,-2.42E-06,0.003700518,,1,1
Srebf2,-237.5108699,-237.5108692,-6.16E-07,6.12E-05,,1,1
Atp6ap1,-616.22342,-616.2234085,-1.15E-05,0.192043687,,1,1
Atp6v0b,-774.7636954,-780.4467025,5.683007123,0.721200316,,0.017129984,1
Pkig,-614.7360472,-614.9353273,0.199280167,0.652711763,,0.655302502,1
BC030336,-468.646172,-468.6461616,-1.05E-05,0.000735693,,1,1
Eif3i,-549.5163193,-549.9078484,0.391529133,0.786515872,,0.531496718,1
Ubr4,-498.3046181,-498.4132163,0.108598257,1.370295822,,0.741745679,1
Phf1,-255.8342905,-256.452203,0.617912537,6.532794611,,0.43182406,1
D8Ertd738e,-587.0101865,-587.3174553,0.307268793,2.934181813,,0.579361019,1
Foxg1,-674.2465982,-674.2465773,-2.10E-05,0.012926824,,1,1
Ptprs,-742.014116,-742.1797545,0.165638537,3.818912756,,0.684017429,1
Ints2,-349.615541,-349.6155401,-9.05E-07,6.30E-07,,1,1
Rps23,-683.3191504,-684.0579829,0.738832514,0.610861224,,0.390035122,1
Wipf2,-397.1610787,-397.1610746,-4.15E-06,0.076024874,,1,1
Psmd7,-525.8687672,-526.7884592,0.919692024,2.88811478,,0.33755585,1
Yipf4,-573.232682,-573.2326802,-1.75E-06,0.02066334,,1,1
Tenm3,-639.1942859,-639.1942826,-3.36E-06,0.011407676,,1,1
Sez6,-802.5018991,-802.5019098,1.07E-05,0.297957843,,0.997394856,1
Ssbp4,-451.1625203,-451.162517,-3.26E-06,4.36E-05,,1,1
Polr1c,-418.3996737,-419.4069971,1.007323416,2.481933169,,0.315544921,1
Nup88,-295.5496773,-295.5496758,-1.53E-06,0.027686941,,1,1
Lrrc8a,-493.9936939,-494.2150091,0.221315211,2.467996901,,0.638039616,1
Matk,-366.0754763,-366.2527457,0.177269388,1.282979654,,0.673730463,1
Aftph,-562.8946694,-562.8985461,0.003876719,0.002655861,,0.95035315,1
Ercc6,-309.6044209,-309.7076293,0.103208396,0.2075122,,0.748012884,1
Tril,-541.7588772,-542.0430906,0.284213409,0.115823346,,0.593952804,1
1810014B01Rik,-142.6819575,-142.7739819,0.092024355,0.002032449,,0.761619211,1
Flnb,-344.3281661,-344.3286679,0.000501761,0.226838397,,0.982128871,1
Ndrg3,-749.0610466,-753.6511961,4.59014942,1.480688434,,0.032156211,1
Cpne6,-771.1709263,-771.8941029,0.723176549,7.95E-13,,0.395103916,1
Rin2,-375.5305994,-376.0807444,0.550144998,0.872916672,,0.458258454,1
Rtn4,-921.4311439,-927.1072221,5.676078289,35.1042288,,0.017197766,1
Zhx1,-527.6011313,-527.6011278,-3.54E-06,0.00012773,,1,1
Lims2,-326.4430115,-328.2631597,1.82014822,1.240780135,,0.177295635,1
Siah1a,-385.1541611,-385.168377,0.014215871,0.559522098,,0.905092879,1
Necab3,-489.3106311,-489.3106191,-1.19E-05,4.69E-05,,1,1
Ppp2r2b,-586.3835467,-586.3835615,1.47E-05,0.329373114,,0.996938576,1
Csnk1e,-565.7974598,-565.8340686,0.036608757,0.009164424,,0.848263808,1
Nat14,-449.3891043,-449.4399565,0.050852203,0.018928337,,0.821586957,1
Scarf2,-123.3792198,-123.4023099,0.023090143,0.576035718,,0.879222893,1
Maged1,-628.1051802,-628.4373614,0.332181229,0.717678185,,0.564377515,1
Cacng3,-406.9759005,-407.0504044,0.074503927,0.163100752,,0.784888518,1
Chmp1a,-434.2026551,-434.2027282,7.31E-05,1.553949426,,0.993178121,1
Maea,-550.0125281,-550.0677557,0.055227594,4.55E-06,,0.814204449,1
Abhd4,-606.8934192,-607.6584848,0.765065675,0.831887751,,0.381747867,1
Rps14,-685.5536475,-685.5536427,-4.87E-06,0.951133725,,1,1
Tmem63b,-425.1047425,-425.426505,0.321762529,1.186070832,,0.57055035,1
Camk2g,-646.8867988,-646.8868046,5.77E-06,0.332998343,,0.998083319,1
Gaa,-711.567413,-711.5676083,0.00019528,0.49517592,,0.988850503,1
Wdr36,-367.5522686,-368.087017,0.534748387,0.094599174,,0.464617352,1
Adss,-466.6869984,-467.7225904,1.035591988,0.889707911,,0.30884888,1
Ms4a6c,-66.76362323,-66.79441652,0.030793287,1.899371788,,0.860702358,1
Kirrel3,-435.068829,-436.0445097,0.975680617,2.462345522,,0.323267524,1
Gm7444,-20.67107774,-20.81125571,0.140177964,2.714855034,,0.708104156,1
Rock1,-521.7013277,-522.5446528,0.843325158,0.000134911,,0.358447502,1
Ctsz,-377.8296652,-377.8454132,0.015747983,5.50E-05,,0.900134875,1
Srp54b,-576.8545696,-577.8288846,0.974314987,0.892198978,,0.323606386,1
